COD_ACTE,DT_MODIF,NOM_COURT
YYYY150,2025-10-17,imagerie pr radio/cardio interv. niveau 5 en salle imagerie
YYYY160,2025-10-17,imagerie pr radio/cardio interv. niveau 6 en salle imagerie
YYYY170,2025-10-17,imagerie pr radio/cardio interv. niveau 7 en salle imagerie
YYYY180,2025-10-17,imagerie pr radio/cardio interv. niveau 8 en salle imagerie
YYYY190,2025-10-17,imagerie pr radio/cardio interv. niveau 10 en salle imagerie
YYYY200,2025-10-17,imagerie pr radio/cardio interv. niveau 11 en salle imagerie
YYYY210,2025-10-17,imagerie pr radio/cardio interv. niveau 12 en salle imagerie
YYYY220,2025-10-17,imagerie pr radio/cardio interv. niveau 13 en salle imagerie
YYYY230,2025-10-17,imagerie pr radio/cardio interv. niveau 15 en salle imagerie
YYYY240,2025-10-17,imagerie pr radio/cardio interv. niveau 16 en salle imagerie
YYYY245,2025-10-17,imagerie pr radio/cardio interv. niveau 17 en salle imagerie
YYYY250,2025-10-17,imagerie pr radio/cardio interv. niveau 18 en salle imagerie
YYYY260,2025-10-17,imagerie pr radio/cardio interv. niveau 19 en salle imagerie
YYYY270,2025-10-17,imagerie pr radio/cardio interv. niveau 20 en salle imagerie
YYYY280,2025-10-17,imagerie pr radio/cardio interv. niveau 21 en salle imagerie
YYYY290,2025-10-17,imagerie pr radio/cardio interv. niveau 22 en salle imagerie
YYYY600,2025-10-17,sup pour archivage numérique 1 mammo ou 1 exam scan ou remno
ZBQH001,2025-10-17,scan. thor. +inject IV
ZBQJ001,2025-10-17,remno thor. +inject IV
ZBQK001,2025-10-17,scan. thor. sans inj. IV prod. contraste
ZBQN001,2025-10-17,remno thor. sans inj. IV prod. contraste
ZCQH001,2025-10-17,scan. abd. +pelvis +inject IV
ZCQH002,2025-10-17,scan. abd/pelvis +inject IV
ZCQJ002,2025-10-17,doppler pelvis féminin v. rectale +/- vag.
ZCQJ004,2025-10-17,remno abd/pelvis +inject IV
ZCQJ005,2025-10-17,remno abd. +pelvis +inject IV
ZCQK003,2025-10-17,pelvimétrie scan.
ZCQK004,2025-10-17,scan. abd. +pelvis sans inj. IV prod. contraste
ZCQK005,2025-10-17,scan. abd/pelvis sans inj. IV prod. contraste
ZCQN001,2025-10-17,remno abd. +pelvis sans inj. IV prod. contraste
ZCQN002,2025-10-17,remno abd/pelvis sans inj. IV prod. contraste
ZZQH001,2025-10-17,scan. 1fistule
ZZQH033,2025-10-17,scan. 3 territ anat / plus + inject prod contrast
ZZQK024,2025-10-17,scan. 3 territ anat / plus sans inject prod contrast
ZZQN001,2025-10-17,remno 6séquences
AAQN004,2025-10-17,remno fct cerveau fct motrices
ACQH001,2025-10-17,scan. crâne +inj. intrathéc. prod. contraste
ACQH002,2025-10-17,scan. crâne son contenu +thor. +inject IV
ACQH003,2025-10-17,scan. crâne +inject IV
ACQH004,2025-10-17,scan. crâne son contenu +tr. +inject IV
ACQJ001,2025-10-17,IRM crâne +viabilité céréb. diffusion+perf. +angioIRM cerv.céph
ACQJ002,2025-10-17,IRM crâne +inject IV
ACQK001,2025-10-17,scan. crâne
ACQK003,2025-10-17,scan. crâne +/- face pr repér. stéréotax.
ACQN001,2025-10-17,IRM crâne sans inj. IV prod. contraste
ACQN002,2025-10-17,IRM crâne +/- face pr planif. dosimétrique
ACQN003,2025-10-17,IRM crâne pr procédure stéréotax.
ACQN004,2025-10-17,IRM crâne +étude viabilité parenchyme céréb. imagerie diffusion +perf.
DDQH006,2025-10-17,angio. pontage coronaire cathé art.
DDQH009,2025-10-17,coro. sans ventr.graph gche cathé art.
DDQH010,2025-10-17,coro. +ventr.graph gche +artério thor. int. cathé art.
DDQH011,2025-10-17,coro. +angio. 1pontage coronaire +ventr.graph gche cathé art.
DDQH012,2025-10-17,coro. +ventr.graph gche cathé art.
DDQH013,2025-10-17,coro+angio. plus. pontages coronaires sans ventr.graph gche cathé art.
DDQH014,2025-10-17,coro. +angio. 1pontage coronaire sans ventr.graph gche cathé art.
DDQH015,2025-10-17,coro. +angio. plus. pontages coronaires +ventr.graph gche cathé art.
DGQM001,2025-10-17,doppler aort. abd+branches viscérales +iliaques +art. mb inf
DZQM002,2025-10-17,échocardio continue +épreuve stress sur lit ergométrique
DZQM005,2025-10-17,doppler coeur +des vssx intrathor. au lit
DZQM006,2025-10-17,doppler coeur +des vssx intrathor.
DZQM008,2025-10-17,remno fct coeur +test pharmaco
DZQN001,2025-10-17,remno morph. coeur
DZQN002,2025-10-17,remno fct coeur sans épreuve pharmaco stress
EAQH002,2025-10-17,scan. des vssx encéph.
EAQJ001,2025-10-17,angioIRM encéph.
EBQH004,2025-10-17,scan. des vssx cerv.céph
EBQH006,2025-10-17,scan. des vssx cerv.
EBQJ001,2025-10-17,angioIRM cerv.céph
EBQJ002,2025-10-17,angioIRM cerv.
EBQM001,2025-10-17,doppler art. cerv.céph extracrân. sans mesure épaisseur
EBQM002,2025-10-17,doppler des art. cerv.céph extracrân. +doppler des art. des mb inf.
ECQH010,2025-10-17,scan. des vssx thor. +/- coeur
ECQH011,2025-10-17,scan. des vssx thor. +/- coeur +scan. des vssx abd. +/- pelvis
ECQJ001,2025-10-17,angioIRM thor.
EDQM001,2025-10-17,doppler des art. iliaques +des art. des mb inf.
EJQM003,2025-10-17,doppler vn mb inf. +vn iliaques pr rech. thrombose vn prof.
EJQM004,2025-10-17,doppler des vn des mb inf. +des vn iliaques sans marquage cut.
EKQH001,2025-10-17,scan. des vssx des mb sup.
EKQJ001,2025-10-17,angioIRM des mb sup.
ELQH001,2025-10-17,scan. des vssx foie vasc. à au moins 3temps différents
ELQH002,2025-10-17,scan. des vssx abd. +/- pelvis
ELQJ001,2025-10-17,angioIRM abd. +/- pelvis
ELQJ003,2025-10-17,angioIRM abd. +/- pelvis +angioIRM des mb
EMQH001,2025-10-17,scan. des vssx des mb inf.
EMQJ001,2025-10-17,angioIRM des mb inf.
HHQH365,2025-10-17,COLOSCOPIE VIRTUELLE + INJECTION IV DE PRODUIT DE CONTRASTE
HHQK484,2025-10-17,COLOSCOPIE VIRTUELLE SANS INJECTION IV DE PRODUIT DE CONTRASTE
LAQJ001,2025-10-17,remno face +inject IV
LAQK002,2025-10-17,scan. rocher +oreille moy.
LAQK005,2025-10-17,rx crâne selon 3 incidences ou +
LAQK009,2025-10-17,scan. face +scan. des tissus mous cou
LAQK011,2025-10-17,scan. angle pontocérébelleux +/- méat acoustique int.
LAQK013,2025-10-17,scan. face
LAQN001,2025-10-17,remno face sans inj. IV prod. contraste
LBQH002,2025-10-17,arthroscanographie artic. temporomandibulaire
LCQH001,2025-10-17,scan. des tissus mous cou +inject IV
LCQJ001,2025-10-17,remno des tissus mous cou +inject IV
LCQK001,2025-10-17,scan. des tissus mous cou sans inj. IV prod. contraste
LCQN001,2025-10-17,remno des tissus mous cou sans inj. IV prod. contraste
LHQH002,2025-10-17,scan. plus. segt vertéb. +inject IV
LHQH006,2025-10-17,scan. 1segt vertéb. +inject IV
LHQJ001,2025-10-17,remno 1/2segt vertéb. +son contenu +inject IV
