"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"HMFC004";"Cholécystectomie, par coelioscopie";"";"4";"0";"149.37";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJGA002";"Extraction [Stripping] de la grande veine saphène, par abord direct";"Notes : Éveinage saphène interne avec crossectomieAvec ou sans : - exérèse, ligature ou sclérose de veine variqueuse - ligature de veine perforante";"4";"0";"70.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"PDFA001";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, sans dissection d'un gros tronc vasculaire ou nerveux";"Note : À l'exclusion de : · exérèse de lésion fasciale et/ou sousfasciale des tissus mous  - de la racine d'un membre, du pli du coude ou du creux poplité (PDFA003)  - de la paume de la main (MJFA008)  - de la plante du pied (NJFA002)                              · exérèse de tumeur de la paroi abdominale antérieure avec fermeture par suture, par abord direct (LMFA001, LMFA002)";"1";"0";"125.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EBLA003";"Pose d'un cathéter relié à une veine profonde du membre supérieur ou du cou par voie transcutanée, avec pose d'un système diffuseur implantable souscutané";"";"1";"0";"141.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JHFA009";"Posthectomie";"Notes : Avec ou sans : plastie du frein du prépuce du pénisIndication : troubles pathologiques induits par un phimosis";"1";"0";"76.74";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LMMA012";"Cure unilatérale d'une hernie de l'aine avec pose de prothèse, par abord inguinal";"";"1";"0";"201.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZFA036";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm²";"Notes : Indication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"28.8";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZMA001";"Réparation de perte de substance par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"], en dehors de l'extrémité céphalique";"Notes : Plastie d'avancement, de rotation, de transposition, plastie en Z, en LLL, en W, en H, en V-Y, en dehors de l'extrémité céphaliqueÀ l'exclusion de : au cours d'une intervention sur la main ou sur un pli de flexion";"1";"0";"178.83";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JDQE001";"Fibroscopie urétrovésicale";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LMMC002";"Cure unilatérale d'une hernie de l'aine avec pose de prothèse, par vidéochirurgie";"";"1";"0";"232.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HHFA016";"Appendicectomie, par coelioscopie ou par laparotomie avec préparation par coelioscopie";"";"1";"0";"191.86";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JGHJ001";"Biopsie de la prostate, par voie transrectale avec guidage échographique";"Note : Facturation : biopsies multiples protocolisées avec 6 biopsies ou plus";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LMMA009";"Cure de hernie de la paroi abdominale antérieure après l'âge de 16 ans sans pose de prothèse, par abord direct";"";"4";"0";"103.64";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
