"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"EJGA002";"Extraction [Stripping] de la grande veine saphène, par abord direct";"Notes : Éveinage saphène interne avec crossectomieAvec ou sans : - exérèse, ligature ou sclérose de veine variqueuse - ligature de veine perforante";"4";"0";"70.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"ZBQK002";"Radiographie du thorax";"Notes : Radiographie pulmonaireÀ l'exclusion de : radiographie du squelette du thorax (LJQK001)Indications : selon rapport d'évaluation technologique "Principales indications et "non indications" de la radiographie du thorax" - HAS - février 2009Facturation : la radiographie du thorax ne peut pas être facturée dans les situations de "non-indication", notamment : infections des voies aériennes hautes ; hypertension artérielle ; suivi périodique de l'insuffisance cardiaque congestive chronique et des cardiomyopathies ; en préopératoire de chirurgie non cardiothoracique chez les adultes de moins de 60 ans sans pathologie cardio-pulmonaire ou...Lire la suite de la note";"1";"0";"21.28";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"EBLA003";"Pose d'un cathéter relié à une veine profonde du membre supérieur ou du cou par voie transcutanée, avec pose d'un système diffuseur implantable souscutané";"";"1";"0";"141.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"DBKA006";"Remplacement de la valve aortique par prothèse mécanique ou bioprothèse avec armature, par thoracotomie avec CEC";"";"5";"0";"313.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GEJE001";"Aspiration intrabronchique à visée thérapeutique, par fibroscopie [Fibroaspiration bronchique]";"Notes : À l'exclusion de : aspiration intrabronchique à visée thérapeutique d'un patient intubé ou trachéotomisé, par fibroscopie (GEJE003)Indication : encombrement du patient ; la kinésithérapie est la technique alternative.";"1";"0";"82.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EJFA002";"Exérèses multiples de branches de la grande veine saphène et/ou de la petite veine saphène sous anesthésie générale ou locorégionale, par abord direct";"Note : Phlébectomie étendue du membre inférieur sous anesthésie générale ou locorégionale";"4";"0";"72.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJFA006";"Exérèse secondaire de la crosse de la grande veine saphène ou de la petite veine saphène, par abord direct";"Notes : Résection de cavernome d'une veine saphèneAvec ou sans : - éveinage saphène - phlébectomie complémentaireEnvironnement : spécifique ; milieu chirurgical";"4";"0";"78.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJGA001";"Extraction [Stripping] de la petite veine saphène, par abord direct";"Notes : Éveinage saphène externe avec crossectomieAvec ou sans : exérèse, ligature ou sclérose de veine variqueuse et/ou de la portion terminale de veine surale [jumelle]                        ligature de veine perforante";"4";"0";"75.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EDAF003";"Dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe avec pose d'endoprothèse, par voie artérielle transcutanée";"";"4";"0";"94.05";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"GGNC001";"Abrasion ou exérèse de la plèvre pariétale, par thoracoscopie";"Note : Pleurectomie pariétale, par thoracoscopie";"4";"0";"200.79";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
