"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"KCQM001";"Échographie transcutanée de la glande thyroïd";"Note : Avec ou sans : échographie transcutanée des glandes parathyroïdes";"1";"0";"34.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQM007";"Échographie du petit bassin [pelvis] féminin pour surveillance de l'ovulation";"Notes : Indication : quand l'acte est réalisé par une sage-femme, la prescription d'un médecin est nécessaireFacturation : 3 actes d'échographie maximum par cycle";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"KCHJ001";"Ponction ou cytoponction d'une lésion de la glande thyroïde, par voie transcutanée avec guidage échographique";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY032";"Induction de l'ovulation par gonadotrophines suivie d'une insémination artificielle ou d'une fécondation in vitro";"Notes : Avec ou sans : micromanipulationFacturation : par cycle le tarif comprend la prise en charge de toutes les consultations et du monitorage clinique (examens cliniques durant le cycle monitoré, réception et interprétation des dosages et des échographies, prescriptions adaptées)Facturation : - les actes d'assistance médicale à la procréation ne peuvent pas être facturés au delà du jour du 43ème anniversaire de la femme ; - une seule insémination artificielle par cycle peut être facturée avec un maximum de 6 pour l'obtention d'une grossesse ; - 4 tentatives de fécondation in vitro avec ou sans micromanipulations peuvent être facturées pour l'obtention d'une grossesse ; on...Lire la suite de la note";"1";"0";"61.44";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"KCHB001";"Ponction ou cytoponction de la glande thyroïde, par voie transcutanée sans guidage";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZCQJ003";"Échographie du petit bassin [pelvis] féminin, par voie rectale et/ou vaginale [par voie cavitaire]";"";"1";"0";"52.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JNQM001";"Échographie non morphologique de la grossesse avant 11 semaines d'aménorrhée";"";"1";"0";"36.06";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JSLD001";"Insémination artificielle intra-utérine";"Note : Avec ou sans : examen de la glaire cervicale";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY020";"Forfait de réanimation niveau B";"Notes : Surveillance par 24 heures dans une unité de réanimation, telle que définie dans les décrets 2002-465 et 2002-466, pour 1 malade nécessitant des manoeuvres de réanimation complexes éventuellement associéesFacturation : par patient, par équipe, par 24 hFacturation : pour facturer le forfait de réanimation niveau B, le patient bénéficie au moins de l'un des actes de suppléance (chapitre 1 à 17 de la CCAM) suivants :Injection intraveineuse continue de dobutamine ou de dopamine à débit supérieur à 8 microgrammes par kilogramme par minute [µg/kg/min], d'adrénaline ou de noradrénaline en dehors de la période néonatale, par 24 heures (EQLF003)Perfusion intraveineuse de produit de remplissage à un débit supérieur à 50 millilitres par kilogramme [ml/kg] en moins de 24 heures chez l'adulte (EQLF002)Transfusion de concentré de globules rouges d'un volume supérieur à une demimasse sanguine chez l'adulte ou à 40 millilitres par kilogramme [ml/kg] chez le nouveau-né en moins de 24 heures (FELF004)Suppléance hémodynamique par dispositif de contrepulsion diastolique intraaortique, par 24 heures (EQMP001)Suppléance hémodynamique et ventilatoire d'un patient en état de mort encéphalique, en vue de prélèvement d'organe (EQMF003)Administration intraveineuse simultanée de deux des produits sanguins suivants : plasma frais congelé, plaquettes, facteur antihémophilique, fibrinogène, antithrombine III pour suppléance de coagulopathie, par 24 heures (FELF003)Ventilation spontanée sur sonde d'intubation trachéale au cours du sevrage d'une ventilation mécanique, par 24 heures (GLLD006)Ventilation spontanée sur trachéotomie au cours du sevrage d'une ventilation mécanique, par 24 heures (GLLD013)Ventilation mécanique discontinue au masque facial ou par embout buccal pour kinésithérapie, par 24 heures (GLLD002)Ventilation mécanique continue au masque facial pour suppléance ventilatoire, par 24 heures (GLLD012)Ventilation mécanique intratrachéale avec pression expiratoire positive [PEP] inférieure ou égale à 6 et FiO2 inférieure ou égale à 60%, par 24 heures (GLLD015)Ventilation mécanique intratrachéale avec pression expiratoire positive [PEP] supérieure à 6 et/ou FiO2 supérieure à 60%, par 24 heures (GLLD008)Ventilation mécanique intratrachéale avec pression expiratoire positive [PEP] supérieure à 6 et/ou FiO2 supérieure à 60%, avec technique de décubitus ventral alterné par 24 heures (GLLD004)Ventilation mécanique à poumons séparés, par 24 heures (GLLD007)Ventilation par oscillations à haute fréquence, par 24 heures (GLLD009)Épuration extracorporelle du dioxyde de carbone [CO2], par 24 heures (GLJF010)Facturation éventuellement en supplément : Epuration extrarénale pour insuffisance rénale aiguë (JVJF003, JVJF002, JVJF006, JVJF005, JVJF007, JVJB002), Séance d'ultrafiltration plasmatique (FEJF009), Séance non programmée de soustraction thérapeutique de plasma avec perfusion de produit de Substitution [échange plasmatique] pour affection aigüe (FEJF002), Séance d'épuration semisélective de substa...Lire la suite de la note";"1";"0";"160.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
