"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"JVJF004";"Séance d'épuration extrarénale par hémodialyse pour insuffisance rénale chronique";"Notes : Environnement : médecin présent en permanence Facturation : ne peut pas être facturé avec séance d'entraînement à l'hémodialyse ou à la dialyse péritonéale";"1";"0";"38.96";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JVJF008";"Séance d'épuration extrarénale par hémodiafiltration, hémofiltration ou biofiltration sans acétate pour insuffisance rénale chronique";"Notes : Environnement : médecin présent en permanence Facturation : ne peut pas être facturé avec séance d'entraînement à l'hémodialyse ou à la dialyse péritonéale";"1";"0";"41.44";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HEQE002";"Endoscopie oeso-gastro-duodénale";"Note : Endoscopie de la partie haute du tube digestif jusqu'à l'angle duodénojéjunal";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"DZQM006";"Échographie-doppler transthoracique du coeur et des vaisseaux intrathoraciques";"Notes : Avec ou sans : épreuve pharmacodynamiqueFacturation : la réalisation de l'électrocardiographie sur au moins 12 dérivations (DEQP003) ne peut pas être facturée en sus de l'échographie du coeur et des vaisseaux intrathoraciques à l'exception de sa réalisation lors des bilans pour  traitement par médicament cardiotoxique, conformément aux modalités  de suivi cardiologique définies dans le  Résumé des Caractéristiques du Produit [RCP] émis ...Lire la suite de la note";"1";"0";"96.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"HHQE005";"Coloscopie totale avec visualisation du bas-fond caecal, sans franchissement de l'orifice iléocolique";"";"4";"0";"50.56";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"YYYY015";"Forfait de réanimation niveau A";"Notes : Surveillance par 24 heures dans une unité de réanimation, de soins intensifs, de surveillance continue, telles que définies dans les décrets 2002-465 et 2002-466, pour 1 malade nécessitant des manoeuvres de réanimation complexes éventuellement associées.A l'exclusion de : surveillance par 24 heures dans une unité de soins intensifs cardiologiquesFacturation : par patient, par équipe, par 24 hFacturation : pour facturer le forfait de réanimation niveau A, le patient bénéficie au moins de l'un des actes de surveillance ou suppléance (chapitre 1 à 17 de la CCAM) suivantsSurveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, par 24 heures (DEQP004)Surveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, avec surveillance continue de la pression intraartérielle et/ou de la saturation artérielle en oxygène par méthodes non effractives, par 24 heures (DEQP007)Surveillance continue transcutanée de la pression partielle sanguine en oxygène [PO2] et/ou en dioxyde de carbone [PCO2] chez le nouveau-né, par 24 heures (GLQP004)Injection intraveineuse continue de dobutamine ou de dopamine à débit inférieur à 8 microgrammes par kilogramme par minute [µg/kg/min], ou de dopexamine en dehors de la période néonatale, par 24 heures (EQLF001)Facturation éventuellement en supplément : Epuration extrarénale pour insuffisance rénale aiguë (JVJF003, JVJF002, JVJF006, JVJF005, JVJF007, JVJB002), Séance d'ultrafiltration plasmatique (FEJF009), Séance non programmée de soustraction thérapeutique de plasma avec perfusion de produit de Substitution [échange plasmatique] pour affection aigüe (FEJF002), Séance d'épuration semisélective de substa...Lire la suite de la note";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY002";"Forfait de cardiologie niveau 2";"Notes : Surveillance monitorée continue et traitement des malades  hospitalisés au sein d'un centre de réanimation cardiaque  par plusieurs médecins spécialistes dont l'un au moins présent de façon constante pour un max de 10 malades, par équipe,  avec surveillance du tracé électrocardiographique, sur oscilloscope et du cardiofréquencemètre y compris  éventuellement  les actes habituels d'électrocardiogra...Lire la suite de la noteFacturation : par patient, par équipe, par 24 hFacturation éventuellement en supplément : - choc électrique externe quel qu'en soit le nombre, - pose ou changement de cathéter endocavitaire pour stimulation électrosystolique, - pose de cathéter endocavitaire pour prise de pression dans les cavités droites";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FELF011";"Transfusion de concentré de globules rouges d'un volume inférieur à une demimasse sanguine";"Notes : À l'exclusion de : transfusion de concentré de globules rouges  - d'un volume inférieur à 40 ml/kg, chez le nouveau-né (FELF007)  - à domicile (FELF008)Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)                    ne peut pas être facturé avec un geste d'anesthésie";"1";"0";"47.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"PAQK007";"Ostéodensitométrie [Absorptiométrie osseuse] sur 2 sites, par méthode biphotonique";"Notes : Indication : Pour chacune de ces indications l'ostéodensitométrie n'est indiquée que si le résultat de l'examen peut, a priori, conduire à une modification de la prise en charge thérapeutique du patient.Indication : - Pour un premier examen :    - dans la population générale quels que soient l'âge et le sexe           . en cas de signes d'ostéoporose : découverte ou confirmation radiologique d'une fracture vertébrale (déformation du corps vertébral) sans contexte traumatique ni tumoral évident ; antécédent personnel de fracture périphérique survenue sans traumatisme majeur (sont exclues de ce cad...Lire la suite de la noteIndication : Pour un premier examen     - chez la femme ménopausée (y compris pour les femmes sous traitement hormonal de la ménopause à des doses utilisées inférieures aux doses recommandées pour la protection osseuse), indications supplémentaires (par rapport à la population générale)           . antécédent de fracture du col fémoral sans traumatisme majeur chez un parent au 1er degré,          ...Lire la suite de la noteIndication : Pour un deuxième examen : - à l'arrêt du traitement anti-ostéoporotique, en dehors de l'arrêt précoce pour effet indésirable, chez la femme ménopausée ; - chez la femme ménopausée sans fracture, lorsqu'un traitement n'a pas été mis en route après une première ostéodensitométrie montrant une valeur normale ou une ostéopénie, une deuxième ostéodensitométrie peut être proposée 3 à 5 ans ...Lire la suite de la noteFormation : spécifique à cet acte en plus de la formation initiale, formation technique des opérateurs et formation à l'interprétation des résultats de l'examen. La compétence en radioprotection est obligatoireEnvironnement : spécifique ; respect des modalités de contrôle qualité des dispositifs d'ostéodensitométrie utilisant les radiations ionisantes (décision Afssaps du 20 avril 2005)Code extension documentaire, pour distinguer : - premier examen : coder A - examen de suivi : coder B";"1";"0";"40.46";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
