"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"PAQL003";"Scintigraphie osseuse du corps entier en un temps [temps tardif]";"";"1";"0";"168.71";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"DAQL009";"Tomoscintigraphie de perfusion myocardique de repos, avec tomoscintigraphie de perfusion myocardique après épreuve d'effort ou épreuve pharmacologique avec synchronisation à l'électrocardiogramme";"";"1";"0";"472.72";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"PAQL002";"Scintigraphie osseuse du corps entier en plusieurs temps";"";"1";"0";"251.39";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"PAQL005";"Scintigraphie osseuse du corps entier segment par segment en plusieurs temps, sans acquisition complémentaire par un collimateur sténopé";"";"1";"0";"251.39";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"ZZQL016";"Tomoscintigraphie du corps entier par émission de positons";"Notes : Environnement : spécifique ; contrôles de radioprotection et de qualité de tout examen de médecine nucléaireRecueil prospectif de données : nécessaire";"1";"0";"89.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"PAQL008";"Scintigraphie osseuse segmentaire en plusieurs temps, sans acquisition complémentaire par un collimateur sténopé";"";"1";"0";"251.39";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"KCQL003";"Scintigraphie de la glande thyroïde";"";"1";"0";"109.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"DAQL010";"Tomoscintigraphie de perfusion myocardique après épreuve d'effort ou épreuve pharmacologique, avec synchronisation à l'électrocardiogramme";"";"1";"0";"319.42";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"ZZQL017";"Quantification complexe d'une étude scintigraphique en dehors de l'examen de la glande thyroïde ou de la scintigraphie rénale corticale";"";"1";"0";"26.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"ZZQL019";"Images planaires scintigraphiques tardives sans réinjection, complémentaires d'un examen standard";"";"1";"0";"88.43";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"ZZQL007";"Tomoscintigraphie complémentaire d'une image planaire";"";"1";"0";"132.64";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
