"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"AAQP007";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo";"Notes : Avec ou sans : épreuve pharmacodynamiqueFormation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB032";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"Notes : Exploration électrophysiologique d'une atteinte du nerf médian au canal carpienFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"124.82";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"61.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"66.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AAQP009";"Electroencéphalographie avec quantification sur 32 dérivations ou plus";"Notes : Formation : spécifique à cet acte en plus de la formation initialeRecueil prospectif de données : nécessaire";"1";"0";"94.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB025";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB013";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"74.72";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EBQM003";"Échographie-doppler des vaisseaux cervicocéphaliques extracrâniens avec échographie-doppler transcrânienne des vaisseaux intracrâniens";"";"1";"0";"95.33";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ALQP003";"Test d'évaluation d'une dépression";"Note : Selon les recommandations de la HAS en vigueur";"1";"0";"69.12";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AZRP001";"Séance d'électroconvulsivothérapie [sismothérapie]";"Note : Facturation : 12 séances maximum au cours d'un même épisode à raison de 2 à 4 séances par semaine";"4";"0";"48.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
