"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"AHQB032";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"Notes : Exploration électrophysiologique d'une atteinte du nerf médian au canal carpienFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"124.82";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AAQP007";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo";"Notes : Avec ou sans : épreuve pharmacodynamiqueFormation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"61.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"66.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB024";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"65.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB033";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"Notes : Exploration électrophysiologique d'une polyneuropathieFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"146.79";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB013";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"74.72";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQP003";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"56.26";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ALQP006";"Test d'évaluation d'un déficit cognitif";"Note : Selon les recommandations de la HAS en vigueur";"1";"0";"69.12";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQP012";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"72.96";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB027";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"51.84";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
