"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"YYYY244";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 0,9 Grays pour les faisceaux de 25 MeV ou plus";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY050";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 9 centiGrays pour les faisceaux de 25 MeV ou plus";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY047";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 20 centiGrays pour les faisceaux de 5 à 7,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY152";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 2 Grays pour les faisceaux de 5 à 7,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY211";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 1,4 Grays pour les faisceaux de 8 à 16,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY048";"Irradiation de moins de 300 cm² en champs fixes  par accélérateur  par fraction de 14 centiGrays pour les faisceaux de 8 à 16,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY356";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 9 Grays pour les faisceaux de 25 MeV ou plus";"";"1";"0";"158.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY049";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 12 centiGrays pour les faisceaux de 17 à 24,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY323";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 20 Grays pour les faisceaux de 5 à 7,9 MeV";"";"1";"0";"158.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZMK011";"Préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle sans HDV, simulation virtuelle utilisant la fonction "vue de la source" [beam's eye view] [BEV] et la restitution tridimensionnelle, et fabrication de cache personnalisé focalisé et/ou paramétrage d'un collimateur multilame";"";"1";"0";"634.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY197";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 1,2 Grays pour les faisceaux de 17 à 24,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY334";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 14 Grays pour les faisceaux de 8 à 16,9 MeV";"";"1";"0";"158.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZMK020";"Reprise de préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle avec HDV, simulation virtuelle utilisant la fonction "vue de la source" [beam's eye view] [BEV] et la restitution tridimensionnelle, et fabrication de filtre compensateur personnalisé ou de cache personnalisé focalisé et/ou paramétrage d'un collimateur multilame";"Note : À l'exclusion de : reprise de préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle avec HDV, simulation virtuelle utilisant la fonction "vue de la source" [beam's eye view] [BEV] et la restitution tridimensionnelle, et paramétrage d'un collimateur multilame pour modulation d'intensité (ZZMK025)";"1";"0";"555.28";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY544";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 9 Grays pour les faisceaux de 25 MeV ou plus, incluant 4 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  4";"1";"0";"634.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY511";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 0,9 Grays pour les faisceaux de 25 MeV ou plus, incluant 4 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  4";"1";"0";"63.46";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY382";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 9 centiGrays pour les faisceaux de 25 MeV ou plus, incluant 4 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  4";"1";"0";"6.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY345";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 12 Grays pour les faisceaux de 17 à 24,9 MeV";"";"1";"0";"158.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZMK018";"Préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle avec HDV, simulation virtuelle utilisant la fonction "vue de la source" [beam's eye view] [BEV] et la restitution tridimensionnelle, et fabrication de filtre compensateur personnalisé ou de cache personnalisé focalisé et/ou paramétrage d'un collimateur multilame";"Note : À l'exclusion de : préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle avec HDV, simulation virtuelle utilisant la fonction "vue de la source" [beam's eye view] [BEV] et la restitution tridimensionnelle, et paramétrage d'un collimateur multilame pour modulation d'intensité (ZZMK024)";"1";"0";"634.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZMK016";"Préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle sans HDV, simulation à l'aide d'un simulateur ou d'un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d'un collimateur multilame";"";"1";"0";"475.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY393";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 0,9 Grays pour les faisceaux de 25 MeV ou plus, incluant 2 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  2";"1";"0";"31.73";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY365";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 9 centiGrays pour les faisceaux de 25 MeV ou plus, incluant 2 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  2";"1";"0";"3.17";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZMK019";"Reprise de préparation à une irradiation externe sans dosimétrie, avec simulation sous l'appareil de traitement";"";"1";"0";"47.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZMK022";"Reprise de préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle sans HDV, simulation à l'aide d'un simulateur ou d'un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d'un collimateur multilame";"";"1";"0";"396.63";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY500";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 0,9 Grays pour les faisceaux de 25 MeV ou plus, incluant 3 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  3";"1";"0";"47.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY522";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 9 Grays pour les faisceaux de 25 MeV ou plus, incluant 2 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  2";"1";"0";"317.3";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY371";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 9 centiGrays pour les faisceaux de 25 MeV ou plus, incluant 3 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  3";"1";"0";"4.76";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY347";"Irradiation de 300 cm² et plus en champs fixes par accélérateur  par fraction de 20 centiGrays pour les faisceaux de 5 à 7,9 MeV, incluant 2 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  2";"1";"0";"3.17";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY387";"Irradiation de 300 cm² et plus en champs fixes par accélérateur  par fraction de 2 Grays pour les faisceaux de 5 à 7,9 MeV, incluant 2 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  2";"1";"0";"31.73";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY046";"Irradiation de moins de 300 cm² en champs fixes  par accélérateur  par fraction de 25 centiGrays pour les faisceaux de 0,5 à 4,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY136";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 2,5 Grays pour les faisceaux de 0,5 à 4,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FELF011";"Transfusion de concentré de globules rouges d'un volume inférieur à une demimasse sanguine";"Notes : À l'exclusion de : transfusion de concentré de globules rouges  - d'un volume inférieur à 40 ml/kg, chez le nouveau-né (FELF007)  - à domicile (FELF008)Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)                    ne peut pas être facturé avec un geste d'anesthésie";"1";"0";"47.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY337";"Irradiation de 300 cm² et plus en champs fixes par accélérateur  par fraction de 1,4 Grays pour les faisceaux de 8 à 16,9 MeV, incluant 2 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  2";"1";"0";"31.73";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY359";"Irradiation de 300 cm² et plus en champs fixes par accélérateur  par fraction de 1,4 Grays pour les faisceaux de 8 à 16,9 MeV, incluant 4 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  4";"1";"0";"63.46";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY533";"Irradiation de 300 cm² ou plus en champs fixes par accélérateur  par fraction de 9 Grays pour les faisceaux de 25 MeV ou plus, incluant 3 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  3";"1";"0";"475.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY326";"Irradiation de 300 cm² et plus en champs fixes  par accélérateur  par fraction de 14 centiGrays pour les faisceaux de 8 à 16,9 MeV, incluant 4 volumes";"Note : Facturation : le tarif prend en compte l'application d' un facteur  4";"1";"0";"6.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
