"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"BLQP010";"Examen de la vision binoculaire";"";"1";"0";"25.67";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BGQP002";"Examen du fond d'oeil par biomicroscopie avec verre de contact";"Note : Avec ou sans : gonioscopie oculaire";"1";"0";"28.68";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BJQP002";"Examen fonctionnel de la motricité oculaire";"Notes : Exploration des hétérophories, diplopies, strabismes, amblyopiesÉpreuve de Lancaster";"1";"0";"26.63";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BZQP002";"Fluoroscopie de l'oeil";"";"1";"0";"27.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BLQP004";"Campimétrie ou périmétrie manuelle ou automatisée, avec programmes spécifiques de mesure de seuils";"";"1";"0";"40.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BZQK001";"Tomographie unilatérale ou bilatérale de l'oeil par scanographie à cohérence optique";"";"1";"0";"57.68";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BFGA004";"Extraction extracapsulaire du cristallin par phakoémulsification, avec implantation de cristallin artificiel dans la chambre postérieure de l'oeil";"Note : Facturation : autorisée uniquement pour le traitement chirurgical de la cataracte";"1";"0";"271.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"BGQP007";"Rétinographie en couleur ou en lumière monochromatique, sans injection [Photographie du segment postérieur de l'oeil, sans injection]";"Note : À l'exclusion de : rétinographie en lumière bleue avec analyse des fibres optiques (BGQP009)";"1";"0";"21.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"BFQM001";"Biométrie oculaire par échographie avec mesure des différents paramètres oculaires pour détermination de la puissance d'un implant";"";"1";"0";"33.22";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"BBQP001";"Exploration fonctionnelle des flux lacrymaux";"Note : Tests de Schirmer, épreuves aux colorants vitaux";"1";"0";"19.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
