"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"NZLB001";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre inférieur, par voie transcutanée sans guidage";"Notes : À l'exclusion de : synoviorthèse  - chimique d'un membre (PBLB002)  - isotopique d'un membre (PBLL001)facturation : ne peut pas être facturé pour l'injection d'acide hyaluronique";"1";"0";"31.51";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"MZLB001";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre supérieur, par voie transcutanée sans guidage";"Notes : À l'exclusion de : synoviorthèse  - chimique d'un membre (PBLB002)  - isotopique d'un membre (PBLL001)facturation : ne peut pas être facturé pour l'injection d'acide hyaluronique";"1";"0";"26.72";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LHLB001";"Infiltration thérapeutique d'articulation vertébrale postérieure, par voie transcutanée sans guidage";"";"1";"0";"34.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"AFLB007";"Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage";"Note : Injection péridurale par le hiatus sacral";"1";"0";"45.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"NAQK015";"Radiographie de la ceinture pelvienne [du bassin] selon 1 incidence";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"PAQK007";"Ostéodensitométrie [Absorptiométrie osseuse] sur 2 sites, par méthode biphotonique";"Notes : Indication : Pour chacune de ces indications l'ostéodensitométrie n'est indiquée que si le résultat de l'examen peut, a priori, conduire à une modification de la prise en charge thérapeutique du patient.Indication : - Pour un premier examen :    - dans la population générale quels que soient l'âge et le sexe           . en cas de signes d'ostéoporose : découverte ou confirmation radiologique d'une fracture vertébrale (déformation du corps vertébral) sans contexte traumatique ni tumoral évident ; antécédent personnel de fracture périphérique survenue sans traumatisme majeur (sont exclues de ce cad...Lire la suite de la noteIndication : Pour un premier examen     - chez la femme ménopausée (y compris pour les femmes sous traitement hormonal de la ménopause à des doses utilisées inférieures aux doses recommandées pour la protection osseuse), indications supplémentaires (par rapport à la population générale)           . antécédent de fracture du col fémoral sans traumatisme majeur chez un parent au 1er degré,          ...Lire la suite de la noteIndication : Pour un deuxième examen : - à l'arrêt du traitement anti-ostéoporotique, en dehors de l'arrêt précoce pour effet indésirable, chez la femme ménopausée ; - chez la femme ménopausée sans fracture, lorsqu'un traitement n'a pas été mis en route après une première ostéodensitométrie montrant une valeur normale ou une ostéopénie, une deuxième ostéodensitométrie peut être proposée 3 à 5 ans ...Lire la suite de la noteFormation : spécifique à cet acte en plus de la formation initiale, formation technique des opérateurs et formation à l'interprétation des résultats de l'examen. La compétence en radioprotection est obligatoireEnvironnement : spécifique ; respect des modalités de contrôle qualité des dispositifs d'ostéodensitométrie utilisant les radiations ionisantes (décision Afssaps du 20 avril 2005)Code extension documentaire, pour distinguer : - premier examen : coder A - examen de suivi : coder B";"1";"0";"40.46";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NZJB001";"Évacuation de collection articulaire du membre inférieur, par voie transcutanée sans guidage";"Note : À l'exclusion de : évacuation d'une collection de l'articulation coxofémorale, par voie transcutanée (NEJB001)";"1";"0";"61.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LFQK002";"Radiographie du segment lombal de la colonne vertébrale selon 1 à 3 incidences";"Note : Avec ou sans : radiographie du sacrum et/ou du coccyx";"1";"0";"40.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"MAQK001";"Radiographie de la ceinture scapulaire et/ou de l'épaule selon 3 ou 4 incidences";"";"1";"0";"30.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NFQK003";"Radiographie du genou selon 3 ou 4 incidences";"";"1";"0";"25.86";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
