"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"AHQB032";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"Notes : Exploration électrophysiologique d'une atteinte du nerf médian au canal carpienFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"124.82";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"NZLB001";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre inférieur, par voie transcutanée sans guidage";"Notes : À l'exclusion de : synoviorthèse  - chimique d'un membre (PBLB002)  - isotopique d'un membre (PBLL001)facturation : ne peut pas être facturé pour l'injection d'acide hyaluronique";"1";"0";"31.51";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LHRP001";"Séance de médecine manuelle de la colonne vertébrale";"Notes : Indication : affection mécanique du rachisFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"34.25";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LFEP002";"Séance d'élongation de la colonne vertébrale lombale par traction sur table";"Note : Avec ou sans : massage";"1";"0";"30.83";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LDEP001";"Séance d'élongation de la colonne vertébrale cervicale par traction sur table";"Note : Avec ou sans : massage";"1";"0";"30.14";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JDQD001";"Cystomanométrie par cathétérisme urétral, avec profilométrie urétrale";"";"1";"0";"139.12";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"NAQK015";"Radiographie de la ceinture pelvienne [du bassin] selon 1 incidence";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"MZLB001";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre supérieur, par voie transcutanée sans guidage";"Notes : À l'exclusion de : synoviorthèse  - chimique d'un membre (PBLB002)  - isotopique d'un membre (PBLL001)facturation : ne peut pas être facturé pour l'injection d'acide hyaluronique";"1";"0";"26.72";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LHLB001";"Infiltration thérapeutique d'articulation vertébrale postérieure, par voie transcutanée sans guidage";"";"1";"0";"34.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JEQD002";"Sphinctérométrie par cathétérisme urétral";"";"1";"0";"81.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LFQK002";"Radiographie du segment lombal de la colonne vertébrale selon 1 à 3 incidences";"Note : Avec ou sans : radiographie du sacrum et/ou du coccyx";"1";"0";"40.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"LDQK002";"Radiographie du segment cervical de la colonne vertébrale selon 3 incidences ou plus";"";"1";"0";"31.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"61.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AFLB007";"Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage";"Note : Injection péridurale par le hiatus sacral";"1";"0";"45.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY011";"Prise en charge diagnostique et thérapeutique dans le même temps d'une lésion ostéo-articulaire,  musculo-tendineuse ou des parties molles d'origine traumatique";"Note : Facturation : ne peut pas être facturé avec des actes thérapeutiques ou diagnostiques d'autres lésions ostéo-articulaire, musculo-tendineuse ou des parties molles d'origine traumatique";"1";"0";"20.16";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"AHQB033";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"Notes : Exploration électrophysiologique d'une polyneuropathieFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"146.79";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"MHMP007";"Confection d'une orthèse statique d'un doigt";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JRRD001";"Séance de rééducation vésicosphinctérienne avec apprentissage des modes de déclenchement mictionnel ou de l'autosondage";"";"1";"0";"50.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"AHQB024";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"65.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LHQK007";"Radiographie de la colonne vertébrale en totalité";"";"1";"0";"101.08";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NFQK003";"Radiographie du genou selon 3 ou 4 incidences";"";"1";"0";"25.86";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"MAQK001";"Radiographie de la ceinture scapulaire et/ou de l'épaule selon 3 ou 4 incidences";"";"1";"0";"30.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"PCQM001";"Échographie de muscle et/ou de tendo";"";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"LHQK004";"Téléradiographie de la colonne vertébrale en totalité selon 1 incidence";"";"1";"0";"43.06";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"LEQK002";"Radiographie du segment thoracique et du segment lombal de la colonne vertébrale";"Note : Avec ou sans : radiographie du sacrum et/ou du coccyx";"1";"0";"74.48";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NZJB001";"Évacuation de collection articulaire du membre inférieur, par voie transcutanée sans guidage";"Note : À l'exclusion de : évacuation d'une collection de l'articulation coxofémorale, par voie transcutanée (NEJB001)";"1";"0";"61.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"66.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZDMP016";"Confection d'une orthèse statique carpométacarpienne et/ou métacarpophalangienne";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LDQK004";"Radiographie du segment cervical et du segment thoracique de la colonne vertébrale ";"";"1";"0";"62.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"AHQP003";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"56.26";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"MZMP001";"Confection d'une contention souple d'une articulation du membre supérieur";"Note : Facturation : l'immobilisation provisoire préalable à un traitement sanglant ne peut pas être facturée.";"1";"0";"31.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JDQD002";"Cystomanométrie par cathétérisme urétral, avec profilométrie urétrale suivie de débitmétrie mictionnelle, avec électromyographie du sphincter strié de l'urètre par électrode aiguille";"";"1";"0";"146.36";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LHQK002";"Téléradiographie de la colonne vertébrale en totalité selon 2 incidences";"";"1";"0";"52.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"LFQK001";"Radiographie du segment lombal de la colonne vertébrale selon 4 incidences ou plus";"Note : Avec ou sans : radiographie du sacrum et/ou du coccyx";"1";"0";"40.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"HTRD001";"Séance de rééducation anorectale avec rétrocontrôle [biofeedback] manométrique intracavitaire, sans électrostimulation";"";"1";"0";"49.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"NFQK004";"Radiographie du genou selon 5 incidences ou plus";"";"1";"0";"25.86";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NEQK010";"Radiographie de l'articulation coxofémorale selon 1 ou 2 incidence";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NDQK002";"Radiographie bilatérale du pied selon 1 à 3 incidences par côté";"";"1";"0";"23.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"PBQM003";"Échographie unilatérale ou bilatérale d'une articulation et de son appareil capsuloligamentair";"Note : À l'exclusion de : échographie unilatérale ou bilatérale de la hanche du nouveau-né (NEQM001)";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"AJLF001";"Bloc sympathique médicamenteux périphérique, par injection intraveineuse transcutanée sous garrot ischémique";"Notes : Indication : syndrome douloureux régional complexe (algodystrophie), syndrome de Raynaud.Formation : spécifique à cet acte en plus de la formation initialeEnvironnement : spécifique ; la pratique de cet acte nécessite le respect de certaines conditions de bonne pratique, notamment des conditions de sécurité anesthésique, avec limitation du nombre de blocs (maximum 6) et la mobilisation éventuelle pendant le geste par une personne formée";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZDMP001";"Confection d'une orthèse statique antébrachiophalangienne";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZDMP007";"Confection d'une orthèse statique de posture antébrachiométacarpienne";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"CERP002";"Séance de rééducation de la fonction vestibulaire labyrinthique";"";"1";"0";"49.46";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"AHLB006";"Infiltration thérapeutique du nerf médian dans le canal carpien";"";"1";"0";"30.14";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"AHQB025";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
