"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"JKHD001";"Prélèvement cervicovaginal";"Note : Prélèvement cervico-utérin";"1";"0";"12.73";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QEHJ003";"Ponction ou cytoponction d'une lésion de la glande mammaire, par voie transcutanée avec guidage échographique";"";"1";"0";"26.57";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"KCHJ001";"Ponction ou cytoponction d'une lésion de la glande thyroïde, par voie transcutanée avec guidage échographique";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"KCHB001";"Ponction ou cytoponction de la glande thyroïde, par voie transcutanée sans guidage";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"KCHJ004";"Ponction ou cytoponction de plusieurs lésions de la glande thyroïde, par voie transcutanée avec guidage échographique";"";"1";"0";"47.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZZHB001";"Ponction ou cytoponction de lésion superficielle, par voie transcutanée sans guidage";"Note : À l'exclusion de : ponction ou cytoponction, par voie transcutanée sans guidage  - de noeud [ganglion] lymphatique (FCHB001)  - de glande salivaire (HCHB001)  - de la glande thyroïde (KCHB001)  - d'une articulation du membre supérieur (MZHB002)  - d'une articulation du membre inférieur (NZHB002)  - de lésion de la glande mammaire (QEHB001)";"1";"0";"19.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"JLQE002";"Colposcopie";"Note : Facturation : le compte-rendu intègre une reproduction de l'aspect du col avec cartographie mentionnant l'aspect des tissus selon la terminologie colposcopique [schéma colposcopique]";"1";"0";"50.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QEHJ002";"Ponction ou cytoponction de plusieurs lésions de la glande mammaire, par voie transcutanée avec guidage échographique";"";"1";"0";"47.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZZHJ007";"Ponction ou cytoponction d'un organe superficiel sur une cible, par voie transcutanée avec guidage échographique";"Note : À l'exclusion de : ponction ou cytoponction, par voie transcutanée avec guidage échographique  - d'une lésion de la glande thyroïde (KCHJ001)  - d'une lésion de la glande mammaire (QEHJ003)";"1";"0";"26.57";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QEHB001";"Ponction ou cytoponction de lésion de la glande mammaire, par voie transcutanée sans guidage";"";"1";"0";"21.92";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FCHB001";"Ponction ou cytoponction de noeud [ganglion] lymphatique, par voie transcutanée sans guidage";"";"1";"0";"5.76";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QEHJ001";"Biopsie d'une lésion de la glande mammaire, par voie transcutanée avec guidage échographique";"Notes : Biopsie-forage [drill biopsy] d'une lésion du sein, avec guidage échographiqueBiopsie d'une lésion du sein au Tru-cut®, au pistolet, avec guidage échographique";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HCHB001";"Ponction ou cytoponction de glande salivaire, par voie transcutanée";"";"1";"0";"42.39";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QEJH001";"Évacuation de collection de la glande mammaire, par voie transcutanée avec guidage échographique et/ou radiologique";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZHJ006";"Ponction ou cytoponction d'un organe profond sur une cible, par voie transcutanée avec guidage échographique";"";"1";"0";"69.42";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZZHJ016";"Ponction ou cytoponction d'organe superficiel sur plusieurs cibles, par voie transcutanée avec guidage échographique";"Note : À l'exclusion de : ponction ou cytoponction, par voie transcutanée avec guidage échographique - de plusieurs lésions de la glande thyroïde (KCHJ004) - de plusieurs lésions de la glande mammaire (QEHJ002)";"1";"0";"47.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QEHP002";"Frottis unilatéral ou bilatéral d'un écoulement mamelonnaire";"";"1";"0";"16.26";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
