"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"ZZLP025";"Anesthésie générale ou locorégionale complémentaire niveau 1";"Notes : À l'exclusion de : anesthésie rachidienne au cours d'un accouchement par voie basse (AFLB010)Facturation : doit être facturé lors de la réalisation d'une anesthésie générale ou locorégionale pour un acte diagnostique ou thérapeutique qui, dans la classification, ne comporte ni tarif propre à l'anesthésie ni indication d'un autre code d'anesthésie complémentaire au-dessous du libellé de l'acte";"1";"0";"0.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"BFGA004";"Extraction extracapsulaire du cristallin par phakoémulsification, avec implantation de cristallin artificiel dans la chambre postérieure de l'oeil";"Note : Facturation : autorisée uniquement pour le traitement chirurgical de la cataracte";"1";"0";"271.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HHQE005";"Coloscopie totale avec visualisation du bas-fond caecal, sans franchissement de l'orifice iléocolique";"";"4";"0";"50.56";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HHFE002";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par coloscopie totale";"";"1";"0";"192.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"YYYY015";"Forfait de réanimation niveau A";"Notes : Surveillance par 24 heures dans une unité de réanimation, de soins intensifs, de surveillance continue, telles que définies dans les décrets 2002-465 et 2002-466, pour 1 malade nécessitant des manoeuvres de réanimation complexes éventuellement associées.A l'exclusion de : surveillance par 24 heures dans une unité de soins intensifs cardiologiquesFacturation : par patient, par équipe, par 24 hFacturation : pour facturer le forfait de réanimation niveau A, le patient bénéficie au moins de l'un des actes de surveillance ou suppléance (chapitre 1 à 17 de la CCAM) suivantsSurveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, par 24 heures (DEQP004)Surveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, avec surveillance continue de la pression intraartérielle et/ou de la saturation artérielle en oxygène par méthodes non effractives, par 24 heures (DEQP007)Surveillance continue transcutanée de la pression partielle sanguine en oxygène [PO2] et/ou en dioxyde de carbone [PCO2] chez le nouveau-né, par 24 heures (GLQP004)Injection intraveineuse continue de dobutamine ou de dopamine à débit inférieur à 8 microgrammes par kilogramme par minute [µg/kg/min], ou de dopexamine en dehors de la période néonatale, par 24 heures (EQLF001)Facturation éventuellement en supplément : Epuration extrarénale pour insuffisance rénale aiguë (JVJF003, JVJF002, JVJF006, JVJF005, JVJF007, JVJB002), Séance d'ultrafiltration plasmatique (FEJF009), Séance non programmée de soustraction thérapeutique de plasma avec perfusion de produit de Substitution [échange plasmatique] pour affection aigüe (FEJF002), Séance d'épuration semisélective de substa...Lire la suite de la note";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"AFLB010";"Anesthésie rachidienne au cours d'un accouchement par voie basse";"Note : Facturation :  - ne peut pas être facturée avec anesthésie pour accouchement par césarienne du sousparagraphe 09.03.03.02 ; ne peut être facturée avec anesthésie locorégionale complémentaire niveau 1, 2, 3, 4, 5 ou 6 - ne peut pas être facturée avec les actes relatifs au traitement de la douleur inscrits au chapitre 1 de la liste des actes et des prestations";"1";"0";"0.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"ZZLP042";"Anesthésie générale ou locorégionale complémentaire niveau 4";"Notes : À l'exclusion de : anesthésie rachidienne au cours d'un accouchement par voie basse (AFLB010)Facturation : doit être facturé lors de la réalisation d'une anesthésie générale ou locorégionale pour un acte diagnostique ou thérapeutique qui, dans la classification, ne comporte pas de tarif propre à l'anesthésie, mais comporte ce code au-dessous du libellé de l'acte";"4";"0";"83.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HHQE002";"Coloscopie totale avec franchissement de l'orifice iléocolique";"";"4";"0";"51.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"ZZLP030";"Anesthésie générale ou locorégionale complémentaire niveau 2";"Notes : À l'exclusion de : anesthésie rachidienne au cours d'un accouchement par voie basse (AFLB010)Facturation : doit être facturé lors de la réalisation d'une anesthésie générale ou locorégionale pour un acte diagnostique ou thérapeutique qui, dans la classification, ne comporte pas de tarif propre à l'anesthésie, mais comporte ce code au-dessous du libellé de l'acte";"4";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJGA002";"Extraction [Stripping] de la grande veine saphène, par abord direct";"Notes : Éveinage saphène interne avec crossectomieAvec ou sans : - exérèse, ligature ou sclérose de veine variqueuse - ligature de veine perforante";"4";"0";"70.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"NFFC004";"Méniscectomie latérale ou médiale du genou, par arthroscopie";"";"1";"0";"195.48";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY041";"Supplément pour récupération peropératoire de sang";"Notes : Filtration et réinjection du sang épanché, avec lavageFacturation : récupération peropératoire ou postopératoire immédiate c'est à dire initialisée en salle d'opération et retransfusée dans les 6 heures suivantes ; volume récupéré supérieur ou égal à 15% de la volémie ; la récupération peropératoire ne peut pas être facturée avec la récupération postopératoire";"4";"0";"83.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
