"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"JHFA009";"Posthectomie";"Notes : Avec ou sans : plastie du frein du prépuce du pénisIndication : troubles pathologiques induits par un phimosis";"1";"0";"76.74";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HPSA001";"Ligature du processus vaginal du péritoine [canal péritonéovaginal], par abord inguinal";"Notes : Cure de hernie de l'aine avant l'âge de 16 ans, avec ou sans résection du sac, avec ou sans geste pariétal, par abord inguinalExérèse de kyste du cordon spermatique, par abord inguinalExérèse de kyste du canal de Nück, par abord inguinalTraitement de l'hydrocèle congénitale, avec ou sans résection de la tunique vaginale du testicule, par abord inguinal";"4";"0";"115.28";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"JHEA002";"Abaissement et fixation d'un testicule ectopique palpable, par abord inguinal et par abord scrotal";"";"1";"0";"201.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JHMA001";"Plastie du prépuce du pénis [Posthoplastie]";"Note : À l'exclusion de : - section ou plastie du frein du prépuce du pénis (JHPA001) - reconstruction du prépuce du pénis (JHMA003)";"1";"0";"62.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JHPA001";"Section ou plastie du frein du prépuce du pénis";"";"1";"0";"47.06";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NHRP003";"Manipulation de pied bot varus équin ou de pied convexe, avec confection d'un appareil rigide externe de réduction progressive";"";"1";"0";"93.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"QZMA001";"Réparation de perte de substance par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"], en dehors de l'extrémité céphalique";"Notes : Plastie d'avancement, de rotation, de transposition, plastie en Z, en LLL, en W, en H, en V-Y, en dehors de l'extrémité céphaliqueÀ l'exclusion de : au cours d'une intervention sur la main ou sur un pli de flexion";"1";"0";"178.83";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LMMA014";"Cure de hernie de la paroi abdominale antérieure avant l'âge de 16 ans, par abord direct";"";"4";"0";"124.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"JEMA021";"Urétroplastie pour hypospadias balanique ou pénien antérieur, sans reconstruction du prépuce";"Note : Avec ou sans : lambeau";"4";"0";"123.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"PDFA001";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, sans dissection d'un gros tronc vasculaire ou nerveux";"Note : À l'exclusion de : · exérèse de lésion fasciale et/ou sousfasciale des tissus mous  - de la racine d'un membre, du pli du coude ou du creux poplité (PDFA003)  - de la paume de la main (MJFA008)  - de la plante du pied (NJFA002)                              · exérèse de tumeur de la paroi abdominale antérieure avec fermeture par suture, par abord direct (LMFA001, LMFA002)";"1";"0";"125.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QAMA002";"Réparation de perte de substance de l'extrémité céphalique par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"]";"Note : Lambeau paralatéronasal";"1";"0";"191.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZFA011";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de 10 cm² à 50 cm²";"Note : Indication : chirurgie carcinologique, traumatique, iatrogène, tatouage accidentel (posttraumatique)";"4";"0";"57.69";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"JEMA011";"Méatoplastie de l'urètre par abord direct, chez le garçon";"Note : Méatotomie ou méatostomie urétrale, par abord direct";"4";"0";"72.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"JHEA001";"Abaissement et fixation d'un testicule ectopique non palpable, par abord inguinal et par abord scrotal";"";"1";"0";"251.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JHDA001";"Orchidopexie, par abord scrotal";"";"1";"0";"125.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HHFA001";"Appendicectomie, par abord de la fosse iliaque";"";"1";"0";"176.79";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JCLE004";"Injection sousmuqueuse intra-urétérale de matériel hétérologue, par endoscopie";"Note : Correction endoscopique de reflux vésico-urétéral";"4";"0";"68.58";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"QZFA039";"Exérèse partielle de l'appareil unguéal";"Notes : Traitement des ongles incarnés, de la mélanonychieAvec ou sans : plastie de la pulpe";"1";"0";"36.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZFA036";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm²";"Notes : Indication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"28.8";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HHFA025";"Appendicectomie avec toilette péritonéale pour péritonite aigüe généralisée, par coelioscopie ou par laparotomie avec préparation par coelioscopie";"";"1";"0";"283.08";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JEMA014";"Urétroplastie pour hypospadias balanique ou pénien antérieur, avec reconstruction du prépuce";"Note : Avec ou sans : lambeau";"4";"0";"128.12";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
