"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"QZFA036";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm²";"Notes : Indication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"28.8";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HBQK002";"Radiographie panoramique dentomaxillaire";"Note : Facturation : ne peut pas être facturé lors du bilan implantaire ou de la pose d'implant intrabuccal, en dehors de sa réalisation pour prise en charge diagnostique et thérapeutique :  - d'agénésies dentaires multiples liées à une maladie rare - des séquelles d'une tumeur de la cavité buccale ou des maxillaires";"1";"0";"20.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"AID - Actes d imagerie dentaire;"
"QAMA002";"Réparation de perte de substance de l'extrémité céphalique par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"]";"Note : Lambeau paralatéronasal";"1";"0";"191.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LBFA023";"Exérèse de lésion de l'os maxillaire et/ou du corps de la mandibule de moins de 2 cm de grand axe, par abord intrabuccal";"Note : Avec ou sans : avulsion dentaire";"1";"0";"59.37";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"LBFA030";"Exérèse de lésion de l'os maxillaire et/ou du corps de la mandibule de 2 cm à 4 cm de grand axe, par abord intrabuccal";"Note : Avec ou sans : avulsion dentaire";"1";"0";"82.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"QZFA004";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de 5 cm² à 10 cm²";"Notes : Indication : chirurgie carcinologique, traumatique, iatrogène, tatouage accidentel (posttraumatique) Facturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"54.3";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"PDFA001";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, sans dissection d'un gros tronc vasculaire ou nerveux";"Note : À l'exclusion de : · exérèse de lésion fasciale et/ou sousfasciale des tissus mous  - de la racine d'un membre, du pli du coude ou du creux poplité (PDFA003)  - de la paume de la main (MJFA008)  - de la plante du pied (NJFA002)                              · exérèse de tumeur de la paroi abdominale antérieure avec fermeture par suture, par abord direct (LMFA001, LMFA002)";"1";"0";"125.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HAFA015";"Exérèse de lésion de la muqueuse de la bouche ou de l'oropharynx de moins de 2 cm de grand axe, par abord intrabuccal";"";"1";"0";"41.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZFA002";"Exérèse d'une lésion souscutanée susfasciale de moins de 3 cm de grand axe";"Notes : Avec ou sans : résection de peauIndication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"55.25";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HCFA007";"Exérèse de petite glande salivaire [glande salivaire accessoire]";"";"1";"0";"119.32";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"GBPA004";"Sinusotomie maxillaire, par abord de la fosse canine [abord vestibulaire]";"Notes : Opération selon Caldwell - LucAblation de corps étranger du sinus maxillaire, par abord vestibulaireAvec ou sans : méatotomie nasale inférieure";"4";"0";"81.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HAPA001";"Section de bride muqueuse ou de frein intrabuccal avec plastie par lambeau local";"";"1";"0";"36.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"QZFA031";"Exérèse de lésion superficielle de la peau par excision de 2 à 5 zones cutanées de moins de 5 cm²";"Notes : Indication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"43.62";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LBPA042";"Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], par abord intrabuccal";"";"1";"0";"478.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LBFA002";"Exérèse de lésion de l'os maxillaire et/ou du corps de la mandibule de plus de 4 cm de grand axe, par abord intrabuccal";"Note : Avec ou sans : avulsion dentaire";"1";"0";"124.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"YYYY059";"Appareillage de contention ou de réduction pré et postopératoire pour résection ou greffe du maxillaire ou de la mandibule";"";"1";"0";"249.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LBPA001";"Ostéotomie d'antépositionnement des épines mentonnières [apophyses geni] de la mandibule, par abord intrabuccal";"";"1";"0";"478.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HASA018";"Fermeture d'une communication buccosinusienne par lambeau de glissement vestibulojugal, par abord intrabuccal";"";"4";"0";"68.85";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HAFA032";"Exérèse de lésion de la muqueuse de la bouche ou de l'oropharynx de 2 cm à 4 cm de grand axe, par abord intrabuccal";"";"1";"0";"104.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"ADPA004";"Décompression du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal";"";"4";"0";"67.07";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HAPD001";"Section de bride muqueuse ou de frein intrabuccal";"Notes : Section et désinsertion interincisive de frein labial supérieurSection de frein de la langue";"1";"0";"20.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADM - Actes dentaires avec technique médical;"
"QZMA001";"Réparation de perte de substance par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"], en dehors de l'extrémité céphalique";"Notes : Plastie d'avancement, de rotation, de transposition, plastie en Z, en LLL, en W, en H, en V-Y, en dehors de l'extrémité céphaliqueÀ l'exclusion de : au cours d'une intervention sur la main ou sur un pli de flexion";"1";"0";"178.83";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LCJA004";"Évacuation de collection de la région des muscles masticateurs, par abord intrabuccal";"Note : Facturation : ne peut pas être facturé avec avulsion dentaire";"1";"0";"83.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LBPA004";"Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire d'avancée type Le Fort I non segmentée, par abord intrabuccal";"Note : Facturation : ne peut pas être facturé avec Appareillage de contention ou de réduction pré et postopératoire pour résection ou greffe du maxillaire ou de la mandibule (YYYY059)";"1";"0";"710.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HAFA008";"Exérèse non transfixiante de lésion de lèvre";"Note : À l'exclusion de : - exérèse de lésion congénitale de lèvre (cf 16.03.15) - résection de cicatrice de lèvre (HAFA028)";"1";"0";"62.26";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HAPA003";"Libération musculaire et muqueuse d'une ankyloglossie";"";"4";"0";"62.56";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"QZFA011";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de 10 cm² à 50 cm²";"Note : Indication : chirurgie carcinologique, traumatique, iatrogène, tatouage accidentel (posttraumatique)";"4";"0";"57.69";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
