"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"CDQP002";"Audiométrie tonale et vocale avec tympanométrie";"Note : Avec ou sans : étude du réflexe stapédien";"1";"0";"54.17";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CDQP015";"Audiométrie tonale avec tympanométrie";"Note : Avec ou sans : étude du réflexe stapédien";"1";"0";"41.61";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GCQE001";"Fibroscopie du pharynx et du larynx, par voie nasale";"";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GAQE001";"Endoscopie de la cavité nasale et du rhinopharynx [cavum], par voie nasale";"Note : Rhinocavoscopie par voie nasale";"1";"0";"31.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CAGD001";"Ablation unilatérale ou bilatérale de bouchon de cérumen ou de corps étranger du méat acoustique externe";"";"1";"0";"19.63";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GDQE004";"Fibroscopie du larynx et de la trachée";"";"1";"0";"45.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GBJD001";"Séance de lavage de sinus paranasal par méthode de déplacement";"Notes : Opération selon ProetzFacturation : les actes réalisés en médecine thermale doivent être cotés en NGAP (titre XV)";"1";"0";"36.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"QZFA036";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm²";"Notes : Indication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"28.8";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"CDQP012";"Audiométrie tonale et vocale";"";"1";"0";"40.04";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"QAMA002";"Réparation de perte de substance de l'extrémité céphalique par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"]";"Note : Lambeau paralatéronasal";"1";"0";"191.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"BJQP005";"Vidéonystagmoscopie";"Note : Avec ou sans : épreuve calorique";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GBQA002";"Sinusoscopie maxillaire, par voie méatale inférieure et/ou par abord de la fosse canine [abord vestibulaire]";"";"1";"0";"58.88";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"CBLD001";"Pose bilatérale d'aérateur transtympanique";"";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FAFA002";"Adénoïdectomie avec pose bilatérale d'aérateur transtympanique";"";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"FAFA013";"Adénoïdectomie avec myringotomie unilatérale ou bilatérale";"";"1";"0";"65.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
