"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"NFFC004";"Méniscectomie latérale ou médiale du genou, par arthroscopie";"";"1";"0";"195.48";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"AHPA009";"Libération du nerf médian au canal carpien, par abord direct";"Note : Avec ou sans : synovectomie partielle de la gaine synoviale des tendons des muscles fléchisseurs des doigts";"1";"0";"104.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NEKA020";"Remplacement de l'articulation coxofémorale par prothèse totale";"Note : Pose de prothèse totale de hanche";"1";"0";"459.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"PAGA011";"Ablation de matériel d'ostéosynthèse des membres sur un site, par abord direct";"Note : À l'exclusion de : ablation par abord direct, de matériel d'ostéosynthèse  - centromédullaire des membres sur un site (PAGA010)  - de la scapula (MAGA001)  - de la main (MDGA002)  - de l'acétabulum ou de l'os coxal (NAGA001)  - du fémur (NBGA007)  - du pied (NDGA003)";"1";"0";"115.12";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"AHPC001";"Libération du nerf médian au canal carpien, par vidéochirurgie";"Note : Avec ou sans : synovectomie partielle de la gaine synoviale des tendons des muscles fléchisseurs des doigts";"1";"0";"115.84";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NFMC003";"Reconstruction du ligament croisé antérieur du genou par autogreffe, par arthroscopie";"Notes : Avec ou sans : plastie ligamentaire selon LemaireFacturation : le tarif prend en compte les prélèvements de greffon tendineux ou ostéotendineux et les éventuels gestes associés intraarticulaires, osseux, cartilagineux, synoviaux ou méniscaux";"1";"0";"453.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NFFC003";"Méniscectomies latérale et médiale du genou, par arthroscopie";"";"1";"0";"275.84";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NFKA007";"Remplacement de l'articulation du genou par prothèse tricompartimentaire sur une déformation inférieure ou égale à 10° dans le plan frontal";"";"1";"0";"590.78";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NDPA011";"Ostéotomie du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"Note : Avec ou sans : résection arthroplastique";"1";"0";"209.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"MEMC003";"Acromioplastie sans prothèse, par arthroscopie";"Note : Avec ou sans : arthroscopie scapulohumérale";"1";"0";"315.66";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QCJA001";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de la main";"";"1";"0";"62.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NZLB001";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre inférieur, par voie transcutanée sans guidage";"Notes : À l'exclusion de : synoviorthèse  - chimique d'un membre (PBLB002)  - isotopique d'un membre (PBLL001)facturation : ne peut pas être facturé pour l'injection d'acide hyaluronique";"1";"0";"31.51";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"NFKA008";"Remplacement de l'articulation du genou par prothèse tricompartimentaire sur une déformation supérieure à 10° dans le plan frontal";"Note : Avec ou sans : reconstruction osseuse";"1";"0";"673.32";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZMA001";"Réparation de perte de substance par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"], en dehors de l'extrémité céphalique";"Notes : Plastie d'avancement, de rotation, de transposition, plastie en Z, en LLL, en W, en H, en V-Y, en dehors de l'extrémité céphaliqueÀ l'exclusion de : au cours d'une intervention sur la main ou sur un pli de flexion";"1";"0";"178.83";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"QZFA039";"Exérèse partielle de l'appareil unguéal";"Notes : Traitement des ongles incarnés, de la mélanonychieAvec ou sans : plastie de la pulpe";"1";"0";"36.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"MJFA018";"Ténosynovectomie des muscles fléchisseurs au poignet ou à la paume de la main, par abord direct";"";"4";"0";"71.1";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"MJEC002";"Réinsertion et/ou suture de plusieurs tendons de la coiffe des rotateurs de l'épaule, par arthroscopie";"";"1";"0";"434.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"AHPA022";"Libération du nerf ulnaire au coude, par abord direct";"Note : Avec ou sans :  - résection partielle ou totale de l'épicondyle médial [épitrochlée]  - transposition antérieure du nerf";"1";"0";"141.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"MCCB004";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale d'un os de l'avant-bras par broche, à foyer fermé";"";"1";"0";"125.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"MEMC005";"Acromioplastie sans prothèse avec arthroplastie acromioclaviculaire par résection de l'extrémité latérale de la clavicule, par arthroscopie";"Note : Avec ou sans : arthroscopie scapulohumérale";"4";"0";"137.61";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"ZEMP005";"Confection d'un appareil rigide d'immobilisation fémorocrural [fémorojambier], fémoropédieux ou cruropédieux [jambopédieux]";"Notes : Confection d'une botte plâtréeFacturation : l'immobilisation provisoire préalable à un traitement sanglant ne peut pas être facturée.";"1";"0";"27.57";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"MJFA015";"Ténosynovectomie des muscles fléchisseurs des doigts sur un rayon de la main, par abord direct";"";"4";"0";"67.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"MJCA012";"Réparation de plaie de l'appareil extenseur d'un doigt par suture sur un rayon de la main, par abord direct";"";"1";"0";"108.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"MJPA013";"Section ou plastie d'agrandissement de la partie cruciforme de la gaine fibreuse digitale [poulie de réflexion de tendon de muscle fléchisseur des doigts] sur un rayon de la main, par abord direct";"Note : Traitement chirurgical du doigt à ressaut";"4";"0";"57.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"QZMA004";"Réparation de perte de substance par lambeau local ou régional cutané, fascial, fasciocutané, septocutané, musculaire ou musculocutané, à pédicule vasculaire ou vasculonerveux anatomique, en dehors de l'extrémité céphalique";"";"1";"0";"472.77";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LFFA002";"Exérèse d'une hernie discale de la colonne vertébrale lombale, par abord postérieur ou postérolatéral";"";"1";"0";"293.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"NFFC002";"Synovectomie antérieure du genou, par arthroscopie";"";"1";"0";"235.3";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"PDFA001";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, sans dissection d'un gros tronc vasculaire ou nerveux";"Note : À l'exclusion de : · exérèse de lésion fasciale et/ou sousfasciale des tissus mous  - de la racine d'un membre, du pli du coude ou du creux poplité (PDFA003)  - de la paume de la main (MJFA008)  - de la plante du pied (NJFA002)                              · exérèse de tumeur de la paroi abdominale antérieure avec fermeture par suture, par abord direct (LMFA001, LMFA002)";"1";"0";"125.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"MZMP001";"Confection d'une contention souple d'une articulation du membre supérieur";"Note : Facturation : l'immobilisation provisoire préalable à un traitement sanglant ne peut pas être facturée.";"1";"0";"31.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY011";"Prise en charge diagnostique et thérapeutique dans le même temps d'une lésion ostéo-articulaire,  musculo-tendineuse ou des parties molles d'origine traumatique";"Note : Facturation : ne peut pas être facturé avec des actes thérapeutiques ou diagnostiques d'autres lésions ostéo-articulaire, musculo-tendineuse ou des parties molles d'origine traumatique";"1";"0";"20.16";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"MJEA006";"Réinsertion et/ou suture de plusieurs tendons de la coiffe des rotateurs de l'épaule, par abord direct";"";"1";"0";"363.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
