"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"JDQE001";"Fibroscopie urétrovésicale";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"JGHJ001";"Biopsie de la prostate, par voie transrectale avec guidage échographique";"Note : Facturation : biopsies multiples protocolisées avec 6 biopsies ou plus";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JDLD002";"Instillation vésicale d'agent pharmacologique par cathétérisme urétral";"";"1";"0";"40.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JGFA015";"Résection d'une hypertrophie de la prostate, par urétrocystoscopie";"Notes : Avec ou sans : urétrotomie interne à l'aveugleFacturation : ne peut pas être facturé avec résection du col de la vessie par endoscopie JDFE003";"4";"0";"176.79";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"JDQM001";"Échographie transcutanée de la vessie et/ou de la prostate";"";"1";"0";"52.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JAQM004";"Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée de la vessie";"Note : Avec ou sans : échographie transcutanée  - des glandes surrénales  - de la prostate";"1";"0";"52.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JHFA009";"Posthectomie";"Notes : Avec ou sans : plastie du frein du prépuce du pénisIndication : troubles pathologiques induits par un phimosis";"1";"0";"76.74";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"JDQE003";"Urétrocystoscopie à l'endoscope rigide";"";"1";"0";"36.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JANM001";"Lithotritie extracorporelle du rein, avec guidage radiologique";"";"1";"0";"250.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JCLE002";"Pose d'une endoprothèse urétérale, par endoscopie rétrograde";"";"4";"0";"54.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"JGQJ001";"Échographie de la prostate et des vésicules séminales, par voie rectale";"Note : Avec ou sans : échographie de la vessie, par voie rectale";"1";"0";"56.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
