"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"EJGA002";"Extraction [Stripping] de la grande veine saphène, par abord direct";"Notes : Éveinage saphène interne avec crossectomieAvec ou sans : - exérèse, ligature ou sclérose de veine variqueuse - ligature de veine perforante";"4";"0";"70.35";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJFA002";"Exérèses multiples de branches de la grande veine saphène et/ou de la petite veine saphène sous anesthésie générale ou locorégionale, par abord direct";"Note : Phlébectomie étendue du membre inférieur sous anesthésie générale ou locorégionale";"4";"0";"72.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJFA006";"Exérèse secondaire de la crosse de la grande veine saphène ou de la petite veine saphène, par abord direct";"Notes : Résection de cavernome d'une veine saphèneAvec ou sans : - éveinage saphène - phlébectomie complémentaireEnvironnement : spécifique ; milieu chirurgical";"4";"0";"78.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJGA001";"Extraction [Stripping] de la petite veine saphène, par abord direct";"Notes : Éveinage saphène externe avec crossectomieAvec ou sans : exérèse, ligature ou sclérose de veine variqueuse et/ou de la portion terminale de veine surale [jumelle]                        ligature de veine perforante";"4";"0";"75.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EDAF003";"Dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe avec pose d'endoprothèse, par voie artérielle transcutanée";"";"4";"0";"94.05";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EBLA003";"Pose d'un cathéter relié à une veine profonde du membre supérieur ou du cou par voie transcutanée, avec pose d'un système diffuseur implantable souscutané";"";"1";"0";"141.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"FCBP002";"Séance de compression [pressothérapie] pneumatique unilatérale ou bilatérale d'un membre";"Notes : Indication : lymphoedème ou phléboedèmeFacturation : 10 séances maximum en 6 mois";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EEAF006";"Dilatation intraluminale de plusieurs artères du membre inférieur avec pose d'endoprothèse, par voie artérielle transcutanée";"Notes : Indication : échec ou insuffisance d'une dilatation intraluminaleEnvironnement : spécifique";"1";"0";"501.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EJQM001";"Échographie-doppler des veines des membres inférieurs, avec marquage cutané ou cartographie hémodynamique";"Notes : Avec ou sans : échographie-doppler de la veine cave inférieureÀ l'exclusion de : échographie-doppler pour repérage préopératoire de pédicule vasculaire d'un lambeau de réparation (EZQM002)Facturation : ne peut pas être facturé avec échodoppler des artères des membres inférieurs";"1";"0";"75.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EZMA001";"Création d'une fistule artérioveineuse pour accès vasculaire par abord direct sans superficialisation veineuse, chez un sujet de plus de 20 kg";"";"4";"0";"122.88";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EEAF004";"Dilatation intraluminale d'une artère du membre inférieur avec pose d'endoprothèse, par voie artérielle transcutanée";"Notes : Indication : ischémie critique ; en deuxième intention, en alternative à la chirurgie qui est le traitement de référenceEnvironnement : spécifique";"1";"0";"334.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EJGA003";"Extraction [Stripping] de la grande veine saphène et de la petite veine saphène, par abord direct";"Notes : Éveinage saphène interne et externe avec crossectomie, par abord directAvec ou sans : exérèse, ligature ou sclérose de veine variqueuse et/ou de la portion terminale de veine surale [jumelle]                       ligature de veine perforante";"4";"0";"80.1";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EDFA007";"Thromboendartériectomie iliofémorale, par abord inguinofémoral";"Note : Avec ou sans : angioplastie d'élargissement";"1";"0";"418.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EQBP001";"Contention veineuse fixe prenant au moins 2 segments de membre, par pose de bande collante ou cohésive";"Notes : À l'exclusion de : contention veineuse peropératoire ou postopératoireFacturation : maximum 2 par semaines";"1";"0";"14.32";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EBFA008";"Thromboendartériectomie de la bifurcation carotidienne par retournement, par cervicotomie sans dérivation vasculaire";"";"1";"0";"627.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EJSA001";"Ligature de plusieurs veines perforantes jambières, par abord direct";"Note : Indication : ligature de perforantes en zone cutanée saine";"4";"0";"76.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"EJQM004";"Échographie-doppler des veines des membres inférieurs et des veines iliaques, sans marquage cutané";"Notes : Avec ou sans : échographie-doppler de la veine cave inférieureÀ l'exclusion de : échographie-doppler des veines des membres inférieurs et des veines iliaques, pour recherche de thrombose veineuse profonde (EJQM003)Facturation : peut être facturé avec échographie-doppler des artères iliaques et des artères des membres inférieurs (EDQM001) lors du diagnostic d'un ulcère de jambe à prédominance veineuse lorsque l'IPS est inférieur à 0,9 ou supérieur à 1,3 et/ou lorsqu'il existe une discordance entre l'examen clinique et l'IPS, selon l'avis du 16 juillet 2014 de la Haute autorité de santé [HAS]";"1";"0";"69.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EEAF003";"Dilatation intraluminale d'une artère du membre inférieur sans pose d'endoprothèse, par voie artérielle transcutanée";"";"1";"0";"334.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EEFA001";"Thromboendartériectomie de l'artère fémorale et/ou de ses branches, par abord direct";"Note : Avec ou sans : angioplastie d'élargissement";"1";"0";"313.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EBFA016";"Thromboendartériectomie de la bifurcation carotidienne avec angioplastie d'élargissement, par cervicotomie sans dérivation vasculaire";"";"1";"0";"645.81";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EECA001";"Pontage artériel fémoropoplité au-dessus de l'interligne articulaire du genou, par abord direct";"";"4";"0";"170.27";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
