"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"HEQE002";"Endoscopie oeso-gastro-duodénale";"Note : Endoscopie de la partie haute du tube digestif jusqu'à l'angle duodénojéjunal";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HHQE005";"Coloscopie totale avec visualisation du bas-fond caecal, sans franchissement de l'orifice iléocolique";"";"4";"0";"50.56";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HHFE002";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par coloscopie totale";"";"1";"0";"192.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HHQE002";"Coloscopie totale avec franchissement de l'orifice iléocolique";"";"4";"0";"51.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"ZCQM006";"Échographie transcutanée de l'étage supérieur de l'abdomen";"";"1";"0";"54.02";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQM008";"Échographie transcutanée de l'abdomen";"";"1";"0";"54.02";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EGNP001";"Séance de traitement instrumental des hémorroïdes par procédé physique";"Notes : Traitement des hémorroïdes par photocoagulation infrarouge, laser, cryothérapie, Bi-capAvec ou sans : ligature élastique";"1";"0";"52.42";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HJQE001";"Rectosigmoïdoscopie";"";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HHFE004";"Exérèse d'un polype de plus de 1cm de diamètre ou de 4 polypes ou plus du côlon et/ou du rectum, par coloscopie totale";"";"1";"0";"192.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HHQE004";"Coloscopie partielle au-delà du côlon sigmoïde";"Note : Coloscopie sans visualisation du bas-fond cæcal";"4";"0";"48.78";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HMQJ001";"Échoendoscopie biliopancréatique sans biopsie";"";"1";"0";"248.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZCQM010";"Échographie transcutanée de l'étage supérieur de l'abdomen et du petit bassin [pelvis]";"";"1";"0";"74.1";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQM005";"Échographie transcutanée de l'abdomen, avec échographie transcutanée du petit bassin [pelvis";"";"1";"0";"75.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"HLQM001";"Échographie transcutanée du foie et des conduits biliaires";"";"1";"0";"52.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQM004";"Échographie transcutanée de l'étage supérieur de l'abdomen avec échographie-doppler des vaisseaux digestifs";"";"1";"0";"54.02";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"HHFE006";"Séance de mucosectomie rectocolique, par endoscopie";"";"1";"0";"203.89";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"ZCQM001";"Échographie transcutanée de l'abdomen, avec échographie-doppler des vaisseaux digestifs";"";"1";"0";"54.02";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EGFA007";"Excision d'une thrombose hémorroïdaire";"";"1";"0";"62.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"ZCQK002";"Radiographie de l'abdomen sans préparation";"Notes : Indications : selon rapport d'évaluation technologique "Principales indications et "non indications" de la radiographie de l'abdomen sans préparation" - HAS - janvier 2009Facturation : la radiographie de l'abdomen sans préparation ne peut pas être facturée dans les situations de "non-indication", notamment chez l'adulte : douleur abdominale ; syndrome occlusif ; saignement gastro-intestinal aigu hématémèse, mélæna ; pathologie vésiculaire, biliaire et pancréatique. HAS - "Avis sur l'acte de radiographie de l'abdomen sans préparation" - janvier 2009.";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"HJQE002";"Rectoscopie au tube rigide";"Note : Avec ou sans : anuscopie";"1";"0";"21.89";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EGSP001";"Séance de ligature élastique des hémorroïdes";"";"1";"0";"27.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EGJA001";"Évacuation d'une thrombose hémorroïdaire externe";"";"1";"0";"62.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HJQJ002";"Échoendoscopie anorectale sans biopsie";"";"1";"0";"128.64";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HEFE002";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l'oesophage, de l'estomac et/ou du duodénum, par oeso-gastro-duodénoscopie";"";"1";"0";"104.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HMGE002";"Ablation de calcul de la voie biliaire principale, par oeso-gastro-duodénoscopie";"Note : Avec ou sans : sphinctérotomie biliaire endoscopique";"4";"0";"149.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"HTQD002";"Manométrie anorectale";"";"1";"0";"72.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HHFE001";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par rectosigmoïdoscopie ou par coloscopie partielle";"";"1";"0";"104.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"FELF011";"Transfusion de concentré de globules rouges d'un volume inférieur à une demimasse sanguine";"Notes : À l'exclusion de : transfusion de concentré de globules rouges  - d'un volume inférieur à 40 ml/kg, chez le nouveau-né (FELF007)  - à domicile (FELF008)Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)                    ne peut pas être facturé avec un geste d'anesthésie";"1";"0";"47.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HHQH001";"Radiographie du côlon avec opacification par produit de contraste";"";"1";"0";"119.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"HEQD002";"pH-métrie oesophagienne et/ou gastrique sur 24 heures";"";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HEQE005";"Endoscopie oeso-gastro-duodénale avec test à l'uréase, après l'âge de 6 ans";"Note : Avec ou sans : biopsie et/ou prélèvement";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EGFA002";"Hémorroïdectomie pédiculaire par résection sousmuqueuse avec anoplastie muqueuse postérieure et sphinctérotomie [léiomyotomie] interne";"Notes : Opération selon Milligan - Morgan avec anoplastieAvec ou sans : excision de fissure de l'anus";"1";"0";"223.72";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"HEQD003";"Manométrie oesophagienne";"";"1";"0";"80.63";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HGQE002";"Duodénoscopie par appareil à vision latérale";"";"1";"0";"100.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
