"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"ZCQJ003";"Échographie du petit bassin [pelvis] féminin, par voie rectale et/ou vaginale [par voie cavitaire]";"";"1";"0";"52.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JQQM010";"Échographie biométrique et morphologique d'une grossesse uniembryonnaire au 1er trimestre";"";"1";"0";"62.56";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JQQM018";"Échographie biométrique et morphologique d'une grossesse unifoetale au 2ème trimestre";"Notes : Avec ou sans : échographie-doppler des artères utérines de la mère échographie-doppler des vaisseaux du cordon ombilicalÀ l'exclusion de : échographie d'une grossesse unifoetale à partir du 2ème trimestre avec échographie-doppler des artères utérines de la mère et des vaisseaux du foetus, pour souffrance foetale (JQQM002)";"1";"0";"101.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JQQM016";"Échographie biométrique et morphologique d'une grossesse unifoetale au 3ème trimestre";"Notes : Avec ou sans : échographie-doppler des artères utérines de la mère échographie-doppler des vaisseaux du cordon ombilicalÀ l'exclusion de : échographie d'une grossesse unifoetale à partir du 2ème trimestre avec échographie-doppler des artères utérines de la mère et des vaisseaux du foetus, pour souffrance foetale (JQQM002)";"1";"0";"101.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JKLD001";"Pose d'un dispositif intra-utérin";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JNQM001";"Échographie non morphologique de la grossesse avant 11 semaines d'aménorrhée";"";"1";"0";"36.06";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JLQE002";"Colposcopie";"Note : Facturation : le compte-rendu intègre une reproduction de l'aspect du col avec cartographie mentionnant l'aspect des tissus selon la terminologie colposcopique [schéma colposcopique]";"1";"0";"50.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZCQM007";"Échographie du petit bassin [pelvis] féminin pour surveillance de l'ovulation";"Notes : Indication : quand l'acte est réalisé par une sage-femme, la prescription d'un médecin est nécessaireFacturation : 3 actes d'échographie maximum par cycle";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQM003";"Échographie transcutanée du petit bassin [pelvis] féminin";"";"1";"0";"52.45";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQJ006";"Échographie transcutanée avec échographie par voie rectale et/ou vaginale [par voie cavitaire] du petit bassin [pelvis] féminin";"";"1";"0";"56.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JQGD012";"Accouchement céphalique unique par voie naturelle, chez une multipare";"";"1";"0";"313.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ACO - Acte d obstetrique;"
"JKHD001";"Prélèvement cervicovaginal";"Note : Prélèvement cervico-utérin";"1";"0";"12.73";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"JQGD010";"Accouchement céphalique unique par voie naturelle, chez une primipare";"";"1";"0";"313.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ACO - Acte d obstetrique;"
"YYYY172";"Échographie et/ou échographie doppler de contrôle ou surveillance de pathologie d'un ou deux organes intra-abdominaux et/ou intrapelviens, ou de vaisseaux périphérique";"Note : A l'exclusion de : échographie de contrôle ou surveillance de pathologie gravidique";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JKKD001";"Changement d'un dispositif intra-utérin";"";"1";"0";"38.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JQQJ037";"Mesure de la longueur du canal cervical du col de l'utérus, par échographie par voie vaginale";"";"1";"0";"34.04";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADE - Acte d echographie;"
"YYYY032";"Induction de l'ovulation par gonadotrophines suivie d'une insémination artificielle ou d'une fécondation in vitro";"Notes : Avec ou sans : micromanipulationFacturation : par cycle le tarif comprend la prise en charge de toutes les consultations et du monitorage clinique (examens cliniques durant le cycle monitoré, réception et interprétation des dosages et des échographies, prescriptions adaptées)Facturation : - les actes d'assistance médicale à la procréation ne peuvent pas être facturés au delà du jour du 43ème anniversaire de la femme ; - une seule insémination artificielle par cycle peut être facturée avec un maximum de 6 pour l'obtention d'une grossesse ; - 4 tentatives de fécondation in vitro avec ou sans micromanipulations peuvent être facturées pour l'obtention d'une grossesse ; on...Lire la suite de la note";"1";"0";"61.44";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZCQJ002";"Echographie-doppler du petit bassin [pelvis] féminin, par voie rectale et/ou vaginale[par voie cavitaire]";"";"1";"0";"61.19";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQJ001";"Echographie-doppler transcutanée et échographie-doppler par voie rectale et/ou vaginale [par voie cavitaire] du petit bassin [pelvis] féminin";"";"1";"0";"69.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JQQM001";"Échographie de surveillance de la croissance foetale";"";"1";"0";"46.69";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"JKGD001";"Ablation d'un dispositif intra-utérin par un matériel intra-utérin de préhension, par voie vaginale";"";"1";"0";"62.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JKHA001";"Biopsie ou frottis de l'endomètre, sans hystéroscopie";"";"1";"0";"42.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
