"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"QZRB001";"Séance d'acupuncture";"Notes : Indication : traitement adjuvant et de deuxième intention chez l'adulte :   nausées et vomissements en alternative thérapeutique   antalgique en association à d'autres traitements   syndrome anxiodépressif, en association avec un  programme de prise en charge globale   aide au sevrage alcoolique et tabagiqueFormation : spécifique à cet acte en plus de la formation initiale";"1";"0";"18.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EJQM004";"Échographie-doppler des veines des membres inférieurs et des veines iliaques, sans marquage cutané";"Notes : Avec ou sans : échographie-doppler de la veine cave inférieureÀ l'exclusion de : échographie-doppler des veines des membres inférieurs et des veines iliaques, pour recherche de thrombose veineuse profonde (EJQM003)Facturation : peut être facturé avec échographie-doppler des artères iliaques et des artères des membres inférieurs (EDQM001) lors du diagnostic d'un ulcère de jambe à prédominance veineuse lorsque l'IPS est inférieur à 0,9 ou supérieur à 1,3 et/ou lorsqu'il existe une discordance entre l'examen clinique et l'IPS, selon l'avis du 16 juillet 2014 de la Haute autorité de santé [HAS]";"1";"0";"69.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EJQM003";"Échographie-doppler des veines des membres inférieurs et des veines iliaques, pour recherche de thrombose veineuse profonde";"Notes : Avec ou sans : échographie-doppler de la veine cave inférieureFacturation : ne peut pas être facturé avec échodoppler des artères des membres inférieurs";"1";"0";"69.93";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"FGRB003";"Test allergologique par piqûre épidermique avec des substances administrées à concentration fixe";"Notes : Prick test pour recherche d'allergie au latex, d'allergie médicamenteusePrick test avec nombre de substances testées supérieur ou égal à 10, témoins inclus, pour rhinite allergiqueÀ l'exclusion de : test allergologique par piqûre épidermique avec des aliments natifs (FGRB004)Environnement : permettant rapidement la reconnaissance et le traitement d'un choc anaphylactique";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EJNF002";"Séance d'occlusion de veine du membre inférieur, par injection intraveineuse transcutanée de produit sclérosant sans guidage";"Notes : A l'exclusion de : Séance de sclérose de varicosités et télangiectasies des veines, par injection intraveineuse transcutanée (EPNF001)Indication : selon les recommandations du conseil national professionnel de médecine vasculaireFacturation : - ne peut pas être codé en association avec un acte d'occlusion de veine du membre inférieur, par injection intraveineuse transcutanée de produit sclérosant avec guidage échographique (EJNJ014), sur le même membre - ne peut pas être facturé pour la sclérose par injection intraveineuse transcutanée de varice saphène, perforante, et/ou récidivante après occlusion, au niveau de la fosse...Lire la suite de la note";"1";"0";"19.33";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY172";"Échographie et/ou échographie doppler de contrôle ou surveillance de pathologie d'un ou deux organes intra-abdominaux et/ou intrapelviens, ou de vaisseaux périphérique";"Note : A l'exclusion de : échographie de contrôle ou surveillance de pathologie gravidique";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EBQM001";"Échographie-doppler des artères cervicocéphaliques extracrâniennes, sans mesure de l'épaisseur de l'intima-média";"Notes : Avec ou sans : - exploration des artères ophtalmiques - épreuves dynamiquesÀ l'exclusion de : échographie-doppler unilatérale ou bilatérale de l'oeil et/ou de l'orbite (BZQM003)";"1";"0";"67.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EBQM002";"Échographie-doppler des artères cervicocéphaliques extracrâniennes, avec échographie-doppler des artères des membres inférieurs";"";"1";"0";"100.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"EDQM001";"Échographie-doppler des artères iliaques et des artères des membres inférieurs";"Notes : Avec ou sans : échographie-doppler de l'aorte abdominaleFacturation : peut être facturé avec échographie-doppler des veines des membres inférieurs et des veines iliaques, sans marquage cutané (EJQM004) lors du diagnostic d'un ulcère de jambe à prédominance veineuse lorsque l'IPS est inférieur à 0,9 ou supérieur à 1,3 et/ou lorsqu'il existe une discordance entre l'examen clinique et l'IPS, selon l'avis du 16 juillet 2014 de la Haute Autorité de Santé [H...Lire la suite de la note";"1";"0";"67.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"YYYY011";"Prise en charge diagnostique et thérapeutique dans le même temps d'une lésion ostéo-articulaire,  musculo-tendineuse ou des parties molles d'origine traumatique";"Note : Facturation : ne peut pas être facturé avec des actes thérapeutiques ou diagnostiques d'autres lésions ostéo-articulaire, musculo-tendineuse ou des parties molles d'origine traumatique";"1";"0";"20.16";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EQQM006";"Mesure de la pression intraartérielle d'un membre en au moins 3 points, par doppler transcutané ou pléthysmographie";"";"1";"0";"21.12";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY010";"Traitement de premier recours de cas nécessitant des actes techniques (pose d'une perfusion, administration d'oxygène, soins de réanimation cardio-respiratoire...) et la présence prolongée du médecin (en dehors d'un établissement de soins) dans les situations suivantes : - détresse respiratoire ; - détresse cardiaque ; - détresse d'origine allergique ; - état aigu d'agitation ; - état de mal comitial ; - détresse d'origine traumatique.";"Note : Facturation :  - est facturé dans les situations où l'intervention du médecin est suivie d'un passage aux urgences et/ou hospitalisation.  - ne peut pas être facturé avec des actes techniques des chapitres 1 à 17 à l'exception de : Électrocardiographie sur au moins 12 dérivations (DEQP003)";"1";"0";"48.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EJQM001";"Échographie-doppler des veines des membres inférieurs, avec marquage cutané ou cartographie hémodynamique";"Notes : Avec ou sans : échographie-doppler de la veine cave inférieureÀ l'exclusion de : échographie-doppler pour repérage préopératoire de pédicule vasculaire d'un lambeau de réparation (EZQM002)Facturation : ne peut pas être facturé avec échodoppler des artères des membres inférieurs";"1";"0";"75.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
