"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"LFFA002";"Exérèse d'une hernie discale de la colonne vertébrale lombale, par abord postérieur ou postérolatéral";"";"1";"0";"293.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LHNH001";"Thermocoagulation de facettes articulaires de vertèbre, par voie transcutanée avec guidage radiologique";"Note : Avec ou sans : stimulodétection électrique";"1";"0";"83.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LFFA001";"Laminarthrectomie lombale ou lombosacrale totale bilatérale, par abord postérieur";"Note : À l'exclusion de : exérèse totale de l'arc vertébral, par abord postérieur (LHFA031)";"1";"0";"630.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LHLB001";"Infiltration thérapeutique d'articulation vertébrale postérieure, par voie transcutanée sans guidage";"";"1";"0";"34.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LFAA002";"Recalibrage bilatéral de la colonne vertébrale lombale ou lombosacrale, par abord postérieur";"";"1";"0";"477.84";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LDFA008";"Exérèse d'une hernie discale de la colonne vertébrale avec ostéosynthèse et/ou arthrodèse, par cervicotomie antérieure ou antérolatérale";"";"1";"0";"532.14";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LFAA001";"Recalibrage unilatéral de la colonne vertébrale lombale ou lombosacrale, par abord postérieur";"";"1";"0";"375.76";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LFFA004";"Exérèse d'une récidive d'une hernie discale de la colonne vertébrale lombale préalablement opérée par abord direct, par abord postérieur";"";"1";"0";"427.88";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"AGLB001";"Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique";"";"1";"0";"67.29";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LFFA006";"Laminarthrectomie lombale ou lombosacrale totale unilatérale sans ostéosynthèse, par abord postérieur";"";"1";"0";"373.58";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"AHPA009";"Libération du nerf médian au canal carpien, par abord direct";"Note : Avec ou sans : synovectomie partielle de la gaine synoviale des tendons des muscles fléchisseurs des doigts";"1";"0";"104.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LFDA009";"Arthrodèse intercorporéale d'un spondylolisthésis lombal avec réduction, avec ostéosynthèse, par abord postérieur";"Notes : PLIFAvec ou sans : arthrodèse postérolatéraleÀ l'exclusion de : arthrodèse antérieure d'un spondylolisthésis lombal à grand déplacement avec réduction, avec ostéosynthèse, par abord postérieur transsacrolombal (LFDA002)";"1";"0";"1163.47";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"LHFA016";"Laminectomie vertébrale sans exploration du contenu intradural, par abord postérieur ou postérolatéral";"";"4";"0";"198.79";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"ACQP002";"Repérage de structure nerveuse et/ou osseuse et guidage peropératoires assistés par ordinateur [Navigation]";"Notes : Formation : spécifique à cet acte en plus de la formation initialeEnvironnement : spécifiqueRecueil prospectif de données : nécessaire";"1";"0";"206.57";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"LHQH003";"Discographie intervertébrale unique, par voie transcutanée";"";"1";"0";"106.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"AAFA002";"Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie";"";"4";"0";"340.85";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
