"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"FELF011";"Transfusion de concentré de globules rouges d'un volume inférieur à une demimasse sanguine";"Notes : À l'exclusion de : transfusion de concentré de globules rouges  - d'un volume inférieur à 40 ml/kg, chez le nouveau-né (FELF007)  - à domicile (FELF008)Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)                    ne peut pas être facturé avec un geste d'anesthésie";"1";"0";"47.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HPJB001";"Évacuation d'un épanchement intrapéritonéal, par voie transcutanée";"Notes : Ponction évacuatrice d'une asciteFacturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"19.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GLQP002";"Mesure de la capacité vitale lente et de l'expiration forcée, avec mesure des volumes pulmonaires mobilisables et non mobilisables par pléthysmographie";"Note : Avec ou sans : mesure des résistances des voies aériennes";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY002";"Forfait de cardiologie niveau 2";"Notes : Surveillance monitorée continue et traitement des malades  hospitalisés au sein d'un centre de réanimation cardiaque  par plusieurs médecins spécialistes dont l'un au moins présent de façon constante pour un max de 10 malades, par équipe,  avec surveillance du tracé électrocardiographique, sur oscilloscope et du cardiofréquencemètre y compris  éventuellement  les actes habituels d'électrocardiogra...Lire la suite de la noteFacturation : par patient, par équipe, par 24 hFacturation éventuellement en supplément : - choc électrique externe quel qu'en soit le nombre, - pose ou changement de cathéter endocavitaire pour stimulation électrosystolique, - pose de cathéter endocavitaire pour prise de pression dans les cavités droites";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FELF006";"Transfusion de produit sanguin labile non érythrocytaire";"Notes : À l'exclusion de :  - injection intraveineuse d'un produit de thérapie cellulaire pour allogreffe (FELF009) - injection intraveineuse d'un produit de thérapie cellulaire pour autogreffe (FELF010)  - transfusion de produit sanguin labile non érythrocytaire, chez le nouveau-né (FELF002)Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)                    ne peut pas être facturé avec un geste d'anesthésie";"1";"0";"47.23";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FDHB002";"Biopsie ostéomédullaire, par voie transcutanée";"";"1";"0";"62.7";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"ZBQK002";"Radiographie du thorax";"Notes : Radiographie pulmonaireÀ l'exclusion de : radiographie du squelette du thorax (LJQK001)Indications : selon rapport d'évaluation technologique "Principales indications et "non indications" de la radiographie du thorax" - HAS - février 2009Facturation : la radiographie du thorax ne peut pas être facturée dans les situations de "non-indication", notamment : infections des voies aériennes hautes ; hypertension artérielle ; suivi périodique de l'insuffisance cardiaque congestive chronique et des cardiomyopathies ; en préopératoire de chirurgie non cardiothoracique chez les adultes de moins de 60 ans sans pathologie cardio-pulmonaire ou...Lire la suite de la note";"1";"0";"21.28";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"FDHB004";"Ponction de moelle osseuse pour myélogramme et analyses biologiques avec biopsie ostéomédullaire dans le même territoire, par voie transcutanée";"";"1";"0";"67.5";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FDHB001";"Ponction de moelle osseuse pour myélogramme dans un territoire, par voie transcutanée";"";"1";"0";"9.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FEJF003";"Saignée thérapeutique";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"25.88";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GLHF001";"Prélèvement de sang artériel avec gazométrie sanguine et mesure du pH, sans épreuve d'hyperoxie";"Notes : À l'exclusion de : au cours  de l'adaptation d'une ventilation non effractive d'une suppléance ventilatoireFacturation : cet acte n'est pas facturable en cas de prélèvement capillaireFacturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"36.48";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HPHB003";"Ponction d'un épanchement péritonéal, par voie transcutanée";"Notes : Ponction d'ascite, par voie transcutanéeFacturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GGJB002";"Évacuation d'un épanchement de la cavité pleurale, par voie transcutanée sans guidage";"Notes : Exsufflation de pneumothorax à l'aiguillePonction pleurale évacuatrice";"1";"0";"48.83";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FDHB006";"Ponction de moelle osseuse pour myélogramme et analyses biologiques dans un territoire, par voie transcutanée";"";"1";"0";"9.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HEQE002";"Endoscopie oeso-gastro-duodénale";"Note : Endoscopie de la partie haute du tube digestif jusqu'à l'angle duodénojéjunal";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JDLD001";"Pose d'une sonde urétrovésicale [Sondage vésical à demeure]";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"18.82";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GEQE007";"Fibroscopie bronchique";"Note : À l'exclusion de : fibroscopie bronchique, chez un patient intubé ou trachéotomisé (GEQE012)";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HHQE005";"Coloscopie totale avec visualisation du bas-fond caecal, sans franchissement de l'orifice iléocolique";"";"4";"0";"50.56";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"AFHB002";"Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]";"";"1";"0";"35.16";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FGRB003";"Test allergologique par piqûre épidermique avec des substances administrées à concentration fixe";"Notes : Prick test pour recherche d'allergie au latex, d'allergie médicamenteusePrick test avec nombre de substances testées supérieur ou égal à 10, témoins inclus, pour rhinite allergiqueÀ l'exclusion de : test allergologique par piqûre épidermique avec des aliments natifs (FGRB004)Environnement : permettant rapidement la reconnaissance et le traitement d'un choc anaphylactique";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GGHB001";"Ponction d'un épanchement pleural, sans guidage";"";"1";"0";"37.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"JDLD002";"Instillation vésicale d'agent pharmacologique par cathétérisme urétral";"";"1";"0";"40.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"JDJD001";"Évacuation de la vessie par cathétérisme transitoire [Sondage vésical évacuateur]";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"22.44";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"HHFE002";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par coloscopie totale";"";"1";"0";"192.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EPPP002";"Désobstruction de site implantable ou de voie veineuse centrale tunnellisée par agent thrombolytique";"";"1";"0";"19.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
