"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"CDQP002";"Audiométrie tonale et vocale avec tympanométrie";"Note : Avec ou sans : étude du réflexe stapédien";"1";"0";"54.17";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GAQE001";"Endoscopie de la cavité nasale et du rhinopharynx [cavum], par voie nasale";"Note : Rhinocavoscopie par voie nasale";"1";"0";"31.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CDQP015";"Audiométrie tonale avec tympanométrie";"Note : Avec ou sans : étude du réflexe stapédien";"1";"0";"41.61";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GCQE001";"Fibroscopie du pharynx et du larynx, par voie nasale";"";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"BJQP005";"Vidéonystagmoscopie";"Note : Avec ou sans : épreuve calorique";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GDQE004";"Fibroscopie du larynx et de la trachée";"";"1";"0";"45.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"CDQP012";"Audiométrie tonale et vocale";"";"1";"0";"40.04";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CERP003";"Épreuve vestibulaire bicalorique calibrée, pendulaire ou rotatoire avec électronystagmographie ou vidéonystagmographie, et tests oculographiques";"";"1";"0";"84.48";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CAGD001";"Ablation unilatérale ou bilatérale de bouchon de cérumen ou de corps étranger du méat acoustique externe";"";"1";"0";"19.63";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CBQD001";"Tympanométrie";"Note : Avec ou sans : étude du réflexe stapédien";"1";"0";"22.77";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CBJD001";"Soin instrumental unilatéral ou bilatéral d'oreille moyenne sous microscope";"Note : Aspiration, cautérisation de l'oreille moyenne";"1";"0";"36.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GBJD001";"Séance de lavage de sinus paranasal par méthode de déplacement";"Notes : Opération selon ProetzFacturation : les actes réalisés en médecine thermale doivent être cotés en NGAP (titre XV)";"1";"0";"36.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GDQE003";"Laryngoscopie indirecte au laryngoscope rigide";"";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FAFA002";"Adénoïdectomie avec pose bilatérale d'aérateur transtympanique";"";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"CBLD001";"Pose bilatérale d'aérateur transtympanique";"";"1";"0";"86.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"FAFA013";"Adénoïdectomie avec myringotomie unilatérale ou bilatérale";"";"1";"0";"65.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"CDRP002";"Épreuves de dépistage de surdité avant l'âge de 3 ans";"Note : Dépistage clinique ou audiométrique des surdités de l'enfant";"1";"0";"49.46";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CDQP007";"Audiométrie en champ libre et en cabine chez l'enfant [tests conditionnés]";"";"1";"0";"54.17";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FAFA015";"Amygdalectomie par dissection, avec adénoïdectomie";"";"1";"0";"93.42";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"GASE001";"Hémostase intranasale par cautérisation ou électrocoagulation, par endoscopie";"Note : À l'exclusion de : coagulation de l'artère sphénopalatine, par endoscopie nasale (EBNE001, EBNE002)";"1";"0";"26.69";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"CAGD002";"Extraction unilatérale ou bilatérale de bouchon épidermique du méat acoustique externe";"";"1";"0";"30.62";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"CDQP010";"Audiométrie tonale ou vocale";"Note : À l'exclusion de : audiométrie vocale dans le bruit (CDQP011)";"1";"0";"26.69";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CERP001";"Épreuve vestibulaire bicalorique calibrée avec électronystagmographie ou vidéonystagmographie";"";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GBQM001";"Échographie unilatérale ou bilatérale du sinus maxillaire et/ou du sinus frontal";"";"1";"0";"34.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"CDQP017";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes";"Note : Formation : spécifique à cet acte en plus de la formation initiale";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GAMA007";"Septoplastie nasale";"Notes : Avec ou sans :  - turbinectomie inférieure  - réinclusion du septumIndication : acte thérapeutique";"4";"0";"76.07";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADA - Acte d anesthesie;"
"FAFA008";"Adénoïdectomie";"";"1";"0";"45.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"CERP004";"Épreuve vestibulaire pendulaire ou rotatoire avec électronystagmographie ou vidéonystagmographie";"";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CBPD001";"Myringotomie unilatérale ou bilatérale";"";"1";"0";"36.11";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"CERP002";"Séance de rééducation de la fonction vestibulaire labyrinthique";"";"1";"0";"49.46";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
