"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"DZQM006";"Échographie-doppler transthoracique du coeur et des vaisseaux intrathoraciques";"Notes : Avec ou sans : épreuve pharmacodynamiqueFacturation : la réalisation de l'électrocardiographie sur au moins 12 dérivations (DEQP003) ne peut pas être facturée en sus de l'échographie du coeur et des vaisseaux intrathoraciques à l'exception de sa réalisation lors des bilans pour  traitement par médicament cardiotoxique, conformément aux modalités  de suivi cardiologique définies dans le  Résumé des Caractéristiques du Produit [RCP] émis ...Lire la suite de la note";"1";"0";"96.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"DKRP004";"Épreuve d'effort sur tapis roulant ou bicyclette ergométrique, avec électrocardiographie discontinue";"";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"DEQP005";"Électrocardiographie sur au moins 2 dérivations, avec enregistrement continu pendant au moins 24 heures";"Note : Électrocardiographie continue ambulatoire selon Holter";"1";"0";"77.01";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"EBQM001";"Échographie-doppler des artères cervicocéphaliques extracrâniennes, sans mesure de l'épaisseur de l'intima-média";"Notes : Avec ou sans : - exploration des artères ophtalmiques - épreuves dynamiquesÀ l'exclusion de : échographie-doppler unilatérale ou bilatérale de l'oeil et/ou de l'orbite (BZQM003)";"1";"0";"67.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"YYYY002";"Forfait de cardiologie niveau 2";"Notes : Surveillance monitorée continue et traitement des malades  hospitalisés au sein d'un centre de réanimation cardiaque  par plusieurs médecins spécialistes dont l'un au moins présent de façon constante pour un max de 10 malades, par équipe,  avec surveillance du tracé électrocardiographique, sur oscilloscope et du cardiofréquencemètre y compris  éventuellement  les actes habituels d'électrocardiogra...Lire la suite de la noteFacturation : par patient, par équipe, par 24 hFacturation éventuellement en supplément : - choc électrique externe quel qu'en soit le nombre, - pose ou changement de cathéter endocavitaire pour stimulation électrosystolique, - pose de cathéter endocavitaire pour prise de pression dans les cavités droites";"1";"0";"57.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"DEMP002";"Contrôle et réglage transcutané secondaires d'un stimulateur cardiaque";"Notes : Formation : spécifique à cet acte en plus de la formation initiale ; recommandations françaises et internationales de bonne pratique de la stimulation et de la défibrillation cardiaquesEnvironnement : spécifique ; recommandations françaises et internationales de bonne pratique de la stimulation cardiaque ; les indications, l'implantation et le suivi des stimulateurs chez les enfants présentent des spécificités relevant d'une compétence appropriée.Recueil prospectif de données : à transmettre au registre national existant géré par le Collège français de stimulation cardiaque";"1";"0";"61.49";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EBQM002";"Échographie-doppler des artères cervicocéphaliques extracrâniennes, avec échographie-doppler des artères des membres inférieurs";"";"1";"0";"100.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"YYYY001";"Forfait de cardiologie niveau 1";"Notes : Surveillance monitorée continue et traitement d'un  ou 2 malades au maximum hospitalisés  sous la responsabilité d'un médecin avec surveillance du tracé électrocardiographique, sur oscilloscope et du cardiofréquencemètre y compris éventuellement les actes habituels d'électrocardiographie et de réanimation  et les prises continues ou intermittentes de pression  avec ou sans enregistrement et ce que...Lire la suite de la noteFacturation : par patient, par 24 h, par médecin ; 7 jours au plus peuvent être facturés.Facturation éventuellement en supplément : - choc électrique externe quel qu'en soit le nombre, - pose ou changement de cathéter  endocavitaire pour stimulation électrosystolique, - pose de cathéter endocavitaire pour prise de pression dans les cavités droites";"1";"0";"26.88";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"EDQM001";"Échographie-doppler des artères iliaques et des artères des membres inférieurs";"Notes : Avec ou sans : échographie-doppler de l'aorte abdominaleFacturation : peut être facturé avec échographie-doppler des veines des membres inférieurs et des veines iliaques, sans marquage cutané (EJQM004) lors du diagnostic d'un ulcère de jambe à prédominance veineuse lorsque l'IPS est inférieur à 0,9 ou supérieur à 1,3 et/ou lorsqu'il existe une discordance entre l'examen clinique et l'IPS, selon l'avis du 16 juillet 2014 de la Haute Autorité de Santé [H...Lire la suite de la note";"1";"0";"67.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
