"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"GLQP002";"Mesure de la capacité vitale lente et de l'expiration forcée, avec mesure des volumes pulmonaires mobilisables et non mobilisables par pléthysmographie";"Note : Avec ou sans : mesure des résistances des voies aériennes";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"ZBQK002";"Radiographie du thorax";"Notes : Radiographie pulmonaireÀ l'exclusion de : radiographie du squelette du thorax (LJQK001)Indications : selon rapport d'évaluation technologique "Principales indications et "non indications" de la radiographie du thorax" - HAS - février 2009Facturation : la radiographie du thorax ne peut pas être facturée dans les situations de "non-indication", notamment : infections des voies aériennes hautes ; hypertension artérielle ; suivi périodique de l'insuffisance cardiaque congestive chronique et des cardiomyopathies ; en préopératoire de chirurgie non cardiothoracique chez les adultes de moins de 60 ans sans pathologie cardio-pulmonaire ou...Lire la suite de la note";"1";"0";"21.28";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"GLQP012";"Mesure de la capacité vitale lente et de l'expiration forcée, avec enregistrement [Spirométrie standard]";"";"1";"0";"41.08";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FGRB003";"Test allergologique par piqûre épidermique avec des substances administrées à concentration fixe";"Notes : Prick test pour recherche d'allergie au latex, d'allergie médicamenteusePrick test avec nombre de substances testées supérieur ou égal à 10, témoins inclus, pour rhinite allergiqueÀ l'exclusion de : test allergologique par piqûre épidermique avec des aliments natifs (FGRB004)Environnement : permettant rapidement la reconnaissance et le traitement d'un choc anaphylactique";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLHF001";"Prélèvement de sang artériel avec gazométrie sanguine et mesure du pH, sans épreuve d'hyperoxie";"Notes : À l'exclusion de : au cours  de l'adaptation d'une ventilation non effractive d'une suppléance ventilatoireFacturation : cet acte n'est pas facturable en cas de prélèvement capillaireFacturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"36.48";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP007";"Polygraphie respiratoire nocturne";"";"1";"0";"148.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GEQE007";"Fibroscopie bronchique";"Note : À l'exclusion de : fibroscopie bronchique, chez un patient intubé ou trachéotomisé (GEQE012)";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY076";"Mesure du transfert de monoxyde de carbone, en état stable, en apnée, en inspiration unique ou en réinspiration";"";"1";"0";"37.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP008";"Mesure de la capacité vitale lente et de l'expiration forcée, avec gazométrie sanguine artérielle [Spirométrie standard avec gaz du sang]";"";"1";"0";"67.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP016";"Mesure des résistances des voies aériennes ou de l'appareil respiratoire par interruption des débits ou des oscillations forcées";"";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP011";"Mesure des volumes pulmonaires mobilisables et non mobilisables par pléthysmographie";"Note : Avec ou sans : mesure des résistances des voies aériennes";"1";"0";"68.98";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"LAQK003";"Radiographie du crâne et/ou du massif facial selon 1 ou 2 incidences";"Notes : Radiographie des sinus paranasauxRadiographie du maxillaire défiléRadiographie des os propres du nezÀ l'exclusion de : radiographie - unilatérale ou bilatérale de l'articulation temporomandibulaire (LBQK005) - de la bouche (cf 07.01.04.01)Indication des radiographies du crâne :  - surveillance de cathéter de dérivation d'une hydrocéphalie,  - ostéomyélite, ostéomalacie, maladies osseuses métaboliques et maladie de Paget, myélome,  - métastases osseuses, tumeurs osseuses primitives du crâne, en l'absence de suspicion d'envahissement méningé - suspicion de maltraitance chez l'enfantIndication des radiographies du massif facial :  - sinusite aiguë non compliquée, maxillaire ou frontale exclusivement, de l'adulte, en cas d'échec d'un traitement bien conduit - recherche de corps étranger radio-opaque en dehors des situations d'urgence - traumatisme orbitaire en cas de lésion par objet contondantCode extension documentaire, pour distinguer : - réalisation de radiographie du crâne : coder A - réalisation de radiographie de sinus : coder B - recherche de corps étranger avant réalisation d'un examen remnographique : coder C";"1";"0";"23.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"AMQP012";"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo";"Notes : Formation : spécifique à cet acte en plus de la formation initialeEnvironnement : spécifique";"1";"0";"217.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY006";"Épreuve quantitative aux agents pharmacodynamiques ou de provocation aux allergènes comportant une mesure du seuil de réactivité";"Note : Facturation : ne peut pas être facturé avec  épreuve fonctionnelle respiratoire par pléthysmographie (GLQP009, GLQP011)";"1";"0";"42.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FGLB001";"Séance d'injection d'extrait allergénique à concentration donnée pour désensibilisation spécifique, par voie souscutanée";"";"1";"0";"12.64";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GEQE004";"Fibroscopie bronchique, avec lavage bronchioloalvéolaire à visée diagnostique";"Note : À l'exclusion de : fibroscopie bronchique avec lavage bronchioloalvéolaire à visée diagnostique, chez un patient intubé ou trachéotomisé (GEQE009)";"1";"0";"110.4";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"GLRP004";"Épreuve d'effort sur tapis roulant ou bicyclette ergométrique, avec mesure des gaz du sang et du débit d'oxygène consommé [VO2], et surveillance électrocardioscopique discontinue";"";"1";"0";"124.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
