"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"YYYY009";"Forfait de néonatalogie en unité de néonatalogie";"Notes : Forfait de surveillance par 24 heures d'un nouveau-né en unité de néonatalogie autorisée Facturation : conditions du décret n°98-900 du 9 octobre 1998";"1";"0";"31.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY095";"Assistance pédiatrique avant la naissance, sur appel du praticien responsable de l'accouchement, pour une situation de risque néonatal, avec établissement d'un compte rendu";"Note : Facturation : ne peut pas être facturé avec réanimation immédiate ou différée d'un nouveau-né en détresse vitale";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"CDRP002";"Épreuves de dépistage de surdité avant l'âge de 3 ans";"Note : Dépistage clinique ou audiométrique des surdités de l'enfant";"1";"0";"49.46";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FGRB003";"Test allergologique par piqûre épidermique avec des substances administrées à concentration fixe";"Notes : Prick test pour recherche d'allergie au latex, d'allergie médicamenteusePrick test avec nombre de substances testées supérieur ou égal à 10, témoins inclus, pour rhinite allergiqueÀ l'exclusion de : test allergologique par piqûre épidermique avec des aliments natifs (FGRB004)Environnement : permettant rapidement la reconnaissance et le traitement d'un choc anaphylactique";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"DZQM006";"Échographie-doppler transthoracique du coeur et des vaisseaux intrathoraciques";"Notes : Avec ou sans : épreuve pharmacodynamiqueFacturation : la réalisation de l'électrocardiographie sur au moins 12 dérivations (DEQP003) ne peut pas être facturée en sus de l'échographie du coeur et des vaisseaux intrathoraciques à l'exception de sa réalisation lors des bilans pour  traitement par médicament cardiotoxique, conformément aux modalités  de suivi cardiologique définies dans le  Résumé des Caractéristiques du Produit [RCP] émis ...Lire la suite de la note";"1";"0";"96.25";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"YYYY123";"Surveillance en unité d'obstétrique d'un enfant dont l'état nécessite un placement en incubateur ou des soins de courte durée";"Note : Facturation : par 24 heures, selon les conditions du décret 98-900 du 9 octobre 1998";"1";"0";"23.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP012";"Mesure de la capacité vitale lente et de l'expiration forcée, avec enregistrement [Spirométrie standard]";"";"1";"0";"41.08";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP002";"Mesure de la capacité vitale lente et de l'expiration forcée, avec mesure des volumes pulmonaires mobilisables et non mobilisables par pléthysmographie";"Note : Avec ou sans : mesure des résistances des voies aériennes";"1";"0";"76.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY154";"Réanimation immédiate ou différée du nouveau-né en détresse vitale, comportant toute technique de ventilation, avec ou sans intubation, et les actes associés, avec établissement d'un compte rendu";"Note : Facturation : ne peut pas être facturé avec l'assistance pédiatrique avant la naissance";"1";"0";"150.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"GLQP016";"Mesure des résistances des voies aériennes ou de l'appareil respiratoire par interruption des débits ou des oscillations forcées";"";"1";"0";"28.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"FGRB004";"Test allergologique par piqûre épidermique avec des aliments natifs";"Notes : Prick test avec aliments natifs testés, témoins inclusEnvironnement : permettant rapidement la reconnaissance et le traitement d'un choc anaphylactique";"1";"0";"37.92";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"DEQP003";"Électrocardiographie sur au moins 12 dérivations";"Note : Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)";"1";"0";"14.52";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"NEQM001";"Échographie unilatérale ou bilatérale de la hanche du nouveau-né";"";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"CDQP015";"Audiométrie tonale avec tympanométrie";"Note : Avec ou sans : étude du réflexe stapédien";"1";"0";"41.61";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY015";"Forfait de réanimation niveau A";"Notes : Surveillance par 24 heures dans une unité de réanimation, de soins intensifs, de surveillance continue, telles que définies dans les décrets 2002-465 et 2002-466, pour 1 malade nécessitant des manoeuvres de réanimation complexes éventuellement associées.A l'exclusion de : surveillance par 24 heures dans une unité de soins intensifs cardiologiquesFacturation : par patient, par équipe, par 24 hFacturation : pour facturer le forfait de réanimation niveau A, le patient bénéficie au moins de l'un des actes de surveillance ou suppléance (chapitre 1 à 17 de la CCAM) suivantsSurveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, par 24 heures (DEQP004)Surveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, avec surveillance continue de la pression intraartérielle et/ou de la saturation artérielle en oxygène par méthodes non effractives, par 24 heures (DEQP007)Surveillance continue transcutanée de la pression partielle sanguine en oxygène [PO2] et/ou en dioxyde de carbone [PCO2] chez le nouveau-né, par 24 heures (GLQP004)Injection intraveineuse continue de dobutamine ou de dopamine à débit inférieur à 8 microgrammes par kilogramme par minute [µg/kg/min], ou de dopexamine en dehors de la période néonatale, par 24 heures (EQLF001)Facturation éventuellement en supplément : Epuration extrarénale pour insuffisance rénale aiguë (JVJF003, JVJF002, JVJF006, JVJF005, JVJF007, JVJB002), Séance d'ultrafiltration plasmatique (FEJF009), Séance non programmée de soustraction thérapeutique de plasma avec perfusion de produit de Substitution [échange plasmatique] pour affection aigüe (FEJF002), Séance d'épuration semisélective de substa...Lire la suite de la note";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY117";"Mise en condition médicale et surveillance d'un nouveau-né pour transfert médicalisé vers un centre spécialisé, avec établissement d'un compte rendu";"";"1";"0";"130.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"JQQM008";"Échographie et hémodynamique doppler du coeur et des vaisseaux intrathoraciques du foetus";"";"1";"0";"138.75";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"HEQE002";"Endoscopie oeso-gastro-duodénale";"Note : Endoscopie de la partie haute du tube digestif jusqu'à l'angle duodénojéjunal";"1";"0";"96.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY010";"Traitement de premier recours de cas nécessitant des actes techniques (pose d'une perfusion, administration d'oxygène, soins de réanimation cardio-respiratoire...) et la présence prolongée du médecin (en dehors d'un établissement de soins) dans les situations suivantes : - détresse respiratoire ; - détresse cardiaque ; - détresse d'origine allergique ; - état aigu d'agitation ; - état de mal comitial ; - détresse d'origine traumatique.";"Note : Facturation :  - est facturé dans les situations où l'intervention du médecin est suivie d'un passage aux urgences et/ou hospitalisation.  - ne peut pas être facturé avec des actes techniques des chapitres 1 à 17 à l'exception de : Électrocardiographie sur au moins 12 dérivations (DEQP003)";"1";"0";"48.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"YYYY006";"Épreuve quantitative aux agents pharmacodynamiques ou de provocation aux allergènes comportant une mesure du seuil de réactivité";"Note : Facturation : ne peut pas être facturé avec  épreuve fonctionnelle respiratoire par pléthysmographie (GLQP009, GLQP011)";"1";"0";"42.24";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ATM - Acte technique medical;"
"HAPD001";"Section de bride muqueuse ou de frein intrabuccal";"Notes : Section et désinsertion interincisive de frein labial supérieurSection de frein de la langue";"1";"0";"20.9";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADM - Actes dentaires avec technique médical;"
