"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"ZBQK002";"Radiographie du thorax";"Notes : Radiographie pulmonaireÀ l'exclusion de : radiographie du squelette du thorax (LJQK001)Indications : selon rapport d'évaluation technologique "Principales indications et "non indications" de la radiographie du thorax" - HAS - février 2009Facturation : la radiographie du thorax ne peut pas être facturée dans les situations de "non-indication", notamment : infections des voies aériennes hautes ; hypertension artérielle ; suivi périodique de l'insuffisance cardiaque congestive chronique et des cardiomyopathies ; en préopératoire de chirurgie non cardiothoracique chez les adultes de moins de 60 ans sans pathologie cardio-pulmonaire ou...Lire la suite de la note";"1";"0";"21.28";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NAQK015";"Radiographie de la ceinture pelvienne [du bassin] selon 1 incidence";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"QEQK001";"Mammographie bilatérale";"Notes : À l'exclusion de : mammographie de dépistage (QEQK004)Facturation : par un radiologue ayant adhéré à une structure en charge du dépistage organisé du cancer du sein, ayant signé la convention avec les caisses d'assurance maladie et respectant le cahier des charges national appliqué aux radiologues pour le dépistage";"1";"0";"66.42";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"QEQM001";"Échographie unilatérale ou bilatérale du sei";"";"1";"0";"41.58";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"HBQK002";"Radiographie panoramique dentomaxillaire";"Note : Facturation : ne peut pas être facturé lors du bilan implantaire ou de la pose d'implant intrabuccal, en dehors de sa réalisation pour prise en charge diagnostique et thérapeutique :  - d'agénésies dentaires multiples liées à une maladie rare - des séquelles d'une tumeur de la cavité buccale ou des maxillaires";"1";"0";"20.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"AID - Actes d imagerie dentaire;"
"QEQK004";"Mammographie de dépistage";"Note : Facturation :  mammographie effectuée dans le cadre du dépistage organisé du cancer du sein ou mammographie de dépistage réalisée chez une femme avec facteurs de risque, en dehors des critères d'âge définis dans le cadre du dépistage organisé du cancer du sein, par un radiologue ayant adhéré à une structure en charge du dépistage organisé du cancer du sein, ayant signé la convention avec les caiss...Lire la suite de la note";"1";"0";"66.42";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NFQK003";"Radiographie du genou selon 3 ou 4 incidences";"";"1";"0";"25.86";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"ZCQK002";"Radiographie de l'abdomen sans préparation";"Notes : Indications : selon rapport d'évaluation technologique "Principales indications et "non indications" de la radiographie de l'abdomen sans préparation" - HAS - janvier 2009Facturation : la radiographie de l'abdomen sans préparation ne peut pas être facturée dans les situations de "non-indication", notamment chez l'adulte : douleur abdominale ; syndrome occlusif ; saignement gastro-intestinal aigu hématémèse, mélæna ; pathologie vésiculaire, biliaire et pancréatique. HAS - "Avis sur l'acte de radiographie de l'abdomen sans préparation" - janvier 2009.";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"MDQK001";"Radiographie de la main ou de doigt";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NFQK004";"Radiographie du genou selon 5 incidences ou plus";"";"1";"0";"25.86";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NEQK010";"Radiographie de l'articulation coxofémorale selon 1 ou 2 incidence";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"LFQK001";"Radiographie du segment lombal de la colonne vertébrale selon 4 incidences ou plus";"Note : Avec ou sans : radiographie du sacrum et/ou du coccyx";"1";"0";"40.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"NDQK001";"Radiographie unilatérale du pied selon 1 à 3 incidences";"";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"KCQM001";"Échographie transcutanée de la glande thyroïd";"Note : Avec ou sans : échographie transcutanée des glandes parathyroïdes";"1";"0";"34.97";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"MAQK001";"Radiographie de la ceinture scapulaire et/ou de l'épaule selon 3 ou 4 incidences";"";"1";"0";"30.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"ZCQM008";"Échographie transcutanée de l'abdomen";"";"1";"0";"54.02";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"PCQM001";"Échographie de muscle et/ou de tendo";"";"1";"0";"37.8";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"ZCQM005";"Échographie transcutanée de l'abdomen, avec échographie transcutanée du petit bassin [pelvis";"";"1";"0";"75.6";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"LDQK002";"Radiographie du segment cervical de la colonne vertébrale selon 3 incidences ou plus";"";"1";"0";"31.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
