"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"YYYY047";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 20 centiGrays pour les faisceaux de 5 à 7,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY152";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 2 Grays pour les faisceaux de 5 à 7,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY244";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 0,9 Grays pour les faisceaux de 25 MeV ou plus";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY050";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 9 centiGrays pour les faisceaux de 25 MeV ou plus";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY211";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 1,4 Grays pour les faisceaux de 8 à 16,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY048";"Irradiation de moins de 300 cm² en champs fixes  par accélérateur  par fraction de 14 centiGrays pour les faisceaux de 8 à 16,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY049";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 12 centiGrays pour les faisceaux de 17 à 24,9 MeV";"";"1";"0";"1.59";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY356";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 9 Grays pour les faisceaux de 25 MeV ou plus";"";"1";"0";"158.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY197";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 1,2 Grays pour les faisceaux de 17 à 24,9 MeV";"";"1";"0";"15.87";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
"YYYY323";"Irradiation de moins de 300 cm² en champs fixes par accélérateur  par fraction de 20 Grays pour les faisceaux de 5 à 7,9 MeV";"";"1";"0";"158.65";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ATM - Acte technique medical;"
