"code de la fiche";"libelle long";"notes";"activite";"phase";"tarif";"condition d'admission au remboursement";"exoneration du ticket moderateur";"code de regroupement;"
"HBQK002";"Radiographie panoramique dentomaxillaire";"Note : Facturation : ne peut pas être facturé lors du bilan implantaire ou de la pose d'implant intrabuccal, en dehors de sa réalisation pour prise en charge diagnostique et thérapeutique :  - d'agénésies dentaires multiples liées à une maladie rare - des séquelles d'une tumeur de la cavité buccale ou des maxillaires";"1";"0";"20.0";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"AID - Actes d imagerie dentaire;"
"LBFA023";"Exérèse de lésion de l'os maxillaire et/ou du corps de la mandibule de moins de 2 cm de grand axe, par abord intrabuccal";"Note : Avec ou sans : avulsion dentaire";"1";"0";"59.37";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"LAQK012";"Téléradiographie du crâne et du massif facial selon 1 incidence";"Note : Facturation : ne peut pas être facturé en orthodontie [ODF], en dehors de sa réalisation pour traitement commencé avant le seizième anniversaire ou pour chirurgie orthognatique.";"1";"0";"19.95";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"AID - Actes d imagerie dentaire;"
"LBFA030";"Exérèse de lésion de l'os maxillaire et/ou du corps de la mandibule de 2 cm à 4 cm de grand axe, par abord intrabuccal";"Note : Avec ou sans : avulsion dentaire";"1";"0";"82.54";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"HAFA015";"Exérèse de lésion de la muqueuse de la bouche ou de l'oropharynx de moins de 2 cm de grand axe, par abord intrabuccal";"";"1";"0";"41.99";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
"EBQM001";"Échographie-doppler des artères cervicocéphaliques extracrâniennes, sans mesure de l'épaisseur de l'intima-média";"Notes : Avec ou sans : - exploration des artères ophtalmiques - épreuves dynamiquesÀ l'exclusion de : échographie-doppler unilatérale ou bilatérale de l'oeil et/ou de l'orbite (BZQM003)";"1";"0";"67.31";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADE - Acte d echographie;"
"LBFA002";"Exérèse de lésion de l'os maxillaire et/ou du corps de la mandibule de plus de 4 cm de grand axe, par abord intrabuccal";"Note : Avec ou sans : avulsion dentaire";"1";"0";"124.53";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"LAQK003";"Radiographie du crâne et/ou du massif facial selon 1 ou 2 incidences";"Notes : Radiographie des sinus paranasauxRadiographie du maxillaire défiléRadiographie des os propres du nezÀ l'exclusion de : radiographie - unilatérale ou bilatérale de l'articulation temporomandibulaire (LBQK005) - de la bouche (cf 07.01.04.01)Indication des radiographies du crâne :  - surveillance de cathéter de dérivation d'une hydrocéphalie,  - ostéomyélite, ostéomalacie, maladies osseuses métaboliques et maladie de Paget, myélome,  - métastases osseuses, tumeurs osseuses primitives du crâne, en l'absence de suspicion d'envahissement méningé - suspicion de maltraitance chez l'enfantIndication des radiographies du massif facial :  - sinusite aiguë non compliquée, maxillaire ou frontale exclusivement, de l'adulte, en cas d'échec d'un traitement bien conduit - recherche de corps étranger radio-opaque en dehors des situations d'urgence - traumatisme orbitaire en cas de lésion par objet contondantCode extension documentaire, pour distinguer : - réalisation de radiographie du crâne : coder A - réalisation de radiographie de sinus : coder B - recherche de corps étranger avant réalisation d'un examen remnographique : coder C";"1";"0";"23.94";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil mais n'exonerant pas la facture";"ADI - Acte d imagerie;"
"HAPA001";"Section de bride muqueuse ou de frein intrabuccal avec plastie par lambeau local";"";"1";"0";"36.2";"Acte remboursable";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ASC - Actes de chirurgie dentaire;"
"QZFA036";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm²";"Notes : Indication : acte thérapeutiqueFacturation : les actes à visée esthétique ne peuvent pas être facturés";"1";"0";"28.8";"Acte remboursable ou non suivant circonstances";"Acte pouvant etre exonere par la regle du seuil et exonerant alors la facture";"ADC - Actes de chirurgie;"
